Code,Archetype,Industry mix,Lead standards,Garment families,Shopify collections
OFF,Offshore energy,Offshore oil & gas | Subsea | Decommissioning | Offshore wind,EN ISO 11612 | EN 1149-5 | EN ISO 11611 | EN 13034 | IEC 61482 | EN ISO 20471 | EN 342,Multi-norm FR/antistatic coveralls | Hi-vis | Cold & wind | Chemical splash,offshore-coveralls | fr-coveralls | hi-vis | cold-store-thermal
LOG,Logistics & distribution,Warehousing & distribution | Cold-chain | Fulfilment | Haulage,EN ISO 20471 | EN ISO 20345 | EN 342 | EN 511 | EN 388,Hi-vis (Class 2/3) | S3 safety boots | Cold-store thermals | Cut gloves | Bump caps,hi-vis | safety-footwear | cold-store-thermal | work-gloves
MFG,Manufacturing & engineering,General & precision manufacturing | Engineering | Fabrication,EN ISO 11611 | EN ISO 11612 | EN 388 | EN ISO 20471 | EN ISO 20345,Coveralls | Cut/heat gloves | Hi-vis | Safety boots | Some FR,coveralls | work-gloves | hi-vis | safety-footwear
AUTO,Automotive,Vehicle manufacture | Bodyshops | MOT & fast-fit | Parts,EN 388 | EN 1149-5 | EN ISO 20345 | EN 13034,Boilersuits/coveralls | Nitrile & cut gloves | Antistatic (paint/ESD) | Safety boots,coveralls | work-gloves | safety-footwear
STEEL,Steel & metals,Steel & tube | Foundries | Metals processing,EN ISO 11612 (D/E) | EN ISO 11611 | EN 407 | EN ISO 20345,FR & molten-metal coveralls | Heat gloves | Foundry boots,fr-coveralls | heat-gloves | safety-footwear
FOOD,Food & drink processing,Food manufacturing | Fish & seafood | Meat & poultry | Bakery,Food-safe | EN 342 | EN ISO 20345 | EN 388,Hygiene wear | Cold-store thermals | Wellingtons | Cut gloves,food-hygiene-wear | cold-store-thermal | wellingtons | work-gloves
AGRI,Agriculture & rural,Agriculture | Horticulture | Forestry | Land management,EN 343 | EN ISO 11393 (chainsaw) | EN ISO 20471 | EN ISO 20345,Waterproofs | Chainsaw trousers | Wellingtons | Hi-vis | Thermals,waterproofs | wellingtons | chainsaw | hi-vis
CON,Construction & civils,Construction | Civil engineering | Groundworks | Regeneration,EN ISO 20471 | EN 397 | EN ISO 20345,Hi-vis | Hard hats | Cargo trousers | Safety boots | Knee pads,hi-vis | safety-footwear | work-trousers
HOSP,Tourism & hospitality,Hotels & hospitality | Tourism | Catering | Events,EN ISO 20347 (SRC) | Food-safe | Industrial-wash,Chef whites | Aprons | FOH uniforms | Housekeeping tunics | Kitchen shoes,chef-whites | hospitality | aprons
HEAL,Healthcare & public sector,NHS & healthcare | Care homes | Public sector | Facilities,Colour-coded tunics | EN ISO 20347 | Industrial-wash,Scrubs | Tunics | Healthcare footwear | Facilities hi-vis,healthcare-scrubs | tunics | hi-vis
UNI,"University, research & tech",Higher education | Research & labs | Tech & life sciences,EN 1149-5 | Food-safe | EN ISO 20471,Lab coats | Antistatic/ESD | Catering | Estates hi-vis,lab-coats | healthcare | hi-vis
PORT,Port & maritime,Ports & docks | Shipping & freight | Marine services,EN ISO 20471 | EN 343 | EN ISO 20345 | EN 342,Hi-vis | Waterproofs | Cold protection | Safety boots,hi-vis | waterproofs | safety-footwear | cold-store-thermal
CORP,"Corporate, retail & services",Financial & professional services | Retail | Facilities | Security,Embroidery/branding | EN ISO 20471 (facilities),Branded polos & shirts | Retail uniforms | Facilities hi-vis | Security,corporate-wear | hi-vis | security
CHEM,"Chemical, petrochem & pharma",Chemicals | Petrochemicals | Pharmaceuticals,EN ISO 11612 | EN 1149-5 | EN 13034 | EN 14605,FR & antistatic coveralls | Chemical suits | Hi-vis,fr-coveralls | chemical-suits | hi-vis
MIX,Mixed market town,Mixed trades | Construction | Retail & services | Light industry,EN ISO 20471 | EN ISO 20345,Hi-vis | Work trousers | Safety boots | Branded polos | Embroidery,hi-vis | work-trousers | safety-footwear | polo-shirts
