QueryLabel,Town,Name,Address,Phone,Website
A_catering_engineers,London,SOS Catering Equipment and Engineering Limited,"Unit 5 Lockwood Way, London E17 5RB, UK",020 8531 8543,http://www.soscateringequipment.co.uk/
A_catering_engineers,London,Catering Repairs London,"The Brew, Victoria House, 64 Paul St, London EC2A 4NA, UK",020 3875 8981,https://cateringrepairslondon.co.uk/?utm_source=GoogleGBP&utm_medium=GBP&utm_campaign=OrganicGBP
A_catering_engineers,London,EFS Catering Equipment,"Unit c8, Angel Road Works, Advent Way, London N18 3AH, UK",020 8884 4064,
A_catering_engineers,London,Latek Catering,"Wordsworth Parade, 5 Wordsworth Parade, Green Lanes, Harringay Ladder, London N8 0SJ, UK",020 8889 0220,https://www.latekcatering.com/
A_catering_engineers,London,Blue catering equipment,"737 Sidcup Rd, London SE9 3SA, UK",07383 016301,
A_catering_engineers,London,Magic Hands Services Ltd,"41 Grange Walk, London SE1 3DY, UK",07467 054687,http://www.magichandsservicesltd.co.uk/
A_catering_engineers,London,Twins Catering Equipment,"189 Uxbridge Rd, London W12, UK",07775 562254,
A_catering_engineers,London,Romann Catering,"Progress Business Park, 14 Progress Way, Croydon CR0 4XD, UK",01474 706338,https://www.romanncatering.co.uk/
A_catering_engineers,London,London Atlantic catering equipment ltd,"736, 740 Romford Rd, Fourth Ave, London E12 6BT, UK",07456 893145,https://www.facebook.com/marketplace/you/selling?locale=en_GB
A_catering_engineers,London,Commercial Kitchen Kit Engineers London,"128 City Rd, London EC1V 2NX, UK",07951 062795,https://ckke.co.uk/
A_catering_engineers,London,Euro Catering,"294 Hackney Rd, London E2 7SJ, UK",020 7613 3084,http://www.eurocatering.co.uk/
A_catering_engineers,London,Toprak Catering Equipment,"102 Green Lanes, Newington Green, London N16 9EH, UK",020 3583 2991,http://www.toprockuk.com/
A_catering_engineers,London,Parsley Catering Ltd.,"119 Upper St, London N1 1QP, UK",07876 711532,
A_catering_engineers,London,Gurden Catering Equipment Trade Ltd,"581 Green Lanes, Harringay Ladder, London N8 0RG, UK",020 8341 3438,
