Town,Name,Address,Phone,Website
London,London Bridge Hotel,"8-18 London Bridge St, London SE1 9SG, UK",020 7855 2200,http://www.londonbridgehotel.com/
London,The W14 Kensington Hotel,"16-22 Gunterstone Rd, London W14 9BX, UK",020 7602 6600,http://www.thew14hotel.co.uk/
London,"Staycity Aparthotels, London, Dalston","130 Kingsland High St, London E8 2LQ, UK",020 8469 9992,https://www.staycity.com/london/dalston/?utm_source=google&utm_medium=Organic&utm_campaign=googlemybusiness_london_dalston
London,Grand Royale Hyde Park,"1-9 Inverness Terrace, London W2 3JP, UK",020 7313 7900,https://montcalmcollection.com/grand-royale-hyde-park/
London,London House Hotel,"Bayswater, 81 Kensington Gardens Square, London W2 4DJ, UK",020 7243 1810,https://www.londonhousehotels.com/
London,Ruby Zoe Hotel London by IHG,"146, 164 Notting Hill Gate, London W11 3QG, UK",020 4520 1760,https://www.ihg.com/ruby-hotels/hotels/gb/en/london/lonzo/hoteldetail?cm_mmc=GoogleMaps-_-GE-_-GB-_-LONZO
London,The Z Hotel Holborn,"75 Kingsway, London WC2B 6SR, UK",020 3841 0870,https://www.thezhotels.com/hotels/holborn
London,Grand Hotel Bellevue London,"25-27 Norfolk Square, Tyburnia, London W2 1RX, UK",020 3089 2527,https://www.grandhotelbellevuelondon.com/
London,The Rockwell,"181-183 Cromwell Rd, London SW5 0SF, UK",020 3597 3532,http://www.therockwell.com/
London,Assembly Leicester Square,"27 - 31 Charing Cross Rd, London WC2H 0LS, UK",020 3953 4251,https://www.assemblyhotels.com/?utm_source=google&utm_medium=local&utm_campaign=assembly
London,Novotel London Waterloo,"113 Lambeth Rd, London SE1 7LS, UK",020 7660 0674,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=1785&merchantid=seo-maps-GB-1785&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps
London,Holiday Inn Express London - Victoria by IHG,"106-110 Belgrave Rd, Pimlico, London SW1V 2BJ, UK",020 7630 8888,https://www.ihg.com/holidayinnexpress/hotels/gb/en/london/lonve/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-GB-_-LONVE
London,Residence Inn by Marriott London Bridge,"201, 211 Long Ln, London SE1 4PN, UK",020 3146 7344,https://www.marriott.com/en-us/hotels/lonri-residence-inn-london-bridge/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
London,London Court Hotel,"194-196 Earls Ct Rd, London SW5 9QF, UK",020 7373 0027,http://www.londoncourthotel.com/
London,"The Windermere Hotel, London","142-144 Warwick Wy, Pimlico, London SW1V 4JE, UK",020 7834 5163,http://www.windermere-hotel.co.uk/
London,Ruby Stella Hotel London by IHG,"15-28 Eyre St Hill, London EC1R 5EW, UK",020 4520 2150,https://www.ihg.com/ruby-hotels/hotels/gb/en/london/lonse/hoteldetail?cm_mmc=GoogleMaps-_-GE-_-GB-_-LONSE
London,Westpoint Hotel London Paddington,"168-172 Sussex Gardens, Tyburnia, London W2 1TP, UK",020 7402 0202,https://www.westpointhotel.com/?utm_source=google&utm_medium=organic&utm_campaign=gmblisting
London,Park Plaza London Waterloo,"6 Hercules Rd, London SE1 7DP, UK",0333 400 6128,https://www.parkplazalondonwaterloo.com/
London,"The Cumberland Hotel, London","The Cumberland, Great Cumberland Pl, Marble Arch, London W1H 7DL, UK",020 7523 5053,https://www.thecumberland.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_website_click
London,"Bloomsbury Palace Hotel | Crown Group | Gower Street London | Hotels Near Tottenham Court Road, Euston Sq & Goodge Street","29-31 Gower St, London WC1E 6HG, UK",020 7636 5801,https://www.crowngroupofhotels.com/bloomsbury-palace-hotel/
London,DoubleTree by Hilton London - Tower of London,"7 Pepys St, London EC3N 4AF, UK",020 7709 1000,https://www.hilton.com/en/hotels/lontldi-doubletree-london-tower-of-london/?SEO_id=GMB-EMEA-DI-LONTLDI
London,St Paul's Hotel,"153 Hammersmith Rd, London W14 0QL, UK",020 8846 9119,http://www.stpaulhotel.co.uk/
London,Premier Inn London Southwark (Southwark Station) hotel,"31 The Cut, London SE1 8LE, UK",0333 015 0106,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-southwark-southwark-station.html?cid=GLBC_LONCUT
London,Travelodge London Central City Road,"1-23 City Rd, London EC1Y 1AG, UK",,https://www.travelodge.co.uk/hotels/340/London-Central-City-Road-hotel?utm_source=google&utm_medium=GHA_Organic&utm_campaign=GHA_London%20Central%20City%20Road
London,Holiday Inn London - West,"4 Portal Way, London W3 6RT, UK",020 8753 0800,https://www.ihg.com/holidayinn/hotels/gb/en/london/lonpw/hoteldetail
London,Bob W London Paddington,"14 Devonshire Terrace, London W2 3DW, UK",020 4525 0747,https://booking.bobw.co/?city=London&properties=london-dev14&utm_source=organic+search&utm_medium=google_my_business_search_maps&utm_campaign=bob_w_london_paddington_google_maps_listing&utm_content=google_my_business_website_button
London,Hotel Riu Plaza London Victoria,"1 Neathouse Pl, Pimlico, London SW1V 1LH, UK",020 3398 1910,https://www.riu.com/en/hotel/united-kingdom/london/hotel-riu-plaza-london-victoria?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=ZLV
London,ibis Styles London Southwark,"43-47 Southwark Bridge Rd, London SE1 9HH, UK",020 7015 1480,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=7465&merchantid=seo-maps-GB-7465&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps
London,The Lincoln Suites,"37-39 Kingsway, London WC2B 6TP, UK",020 3995 0080,http://www.thelincolnsuites.com/?utm_source=google&utm_medium=mybusiness
London,Zedwell Capsule Hotel Piccadilly Circus,"Shaftesbury Ave, Piccadilly Circus, London W1J 0DA, UK",07351 734399,https://zedwellhotels.com/locations/london/piccadilly-circus/zedwell-capsule-hotel/
