Town,Name,Address,Phone,Website
London,Fallow,"52 Haymarket, London SW1Y 4RP, UK",020 8017 1788,http://www.fallowrestaurant.com/
London,Brother Marcus Borough,"1 Dirty Ln, London SE1 9PA, UK",020 3146 4001,https://brothermarcus.co.uk/locations/boroughyards/
London,Blacklock Soho,"24 Great Windmill St, London W1D 7LG, UK",020 3441 6996,https://theblacklock.com/restaurants/blacklock-soho/?utm_source=SOHO_GMB&utm_medium=GMB&utm_campaign=SOHO_RES&utm_id=SOHO_GMB
London,The Wolseley Piccadilly,"160 Piccadilly, London W1J 9EB, UK",020 7499 6996,https://www.thewolseleypiccadilly.com/
London,Evelyn's Table,"28 Rupert St, London W1D 6DJ, UK",,http://theblueposts.co.uk/evelyns-table/
London,Happy London,"25-29 Coventry St, Piccadilly Circus, London W1D 7AG, UK",020 3883 7874,https://happyrestaurants.com/
London,Bill's Covent Garden Restaurant,"St Martin's Courtyard, Slingsby Pl, London WC2H 9EF, UK",020 8054 5400,https://bills-website.co.uk/restaurants/covent-garden/?utm_source=LocalGoogle&utm_medium=Organic
London,OMA,"3 Bedale St, London SE1 9AL, UK",020 8129 6760,http://oma.london/
London,Gymkhana,"42 Albemarle St, London W1S 4JH, UK",020 3011 5900,http://www.gymkhanarestaurants.com/
London,Blacklock Covent Garden,"16a Bedford St, London WC2E 9HE, UK",020 3034 1394,https://theblacklock.com/coventgarden-reservations/?utm_source=GMB&utm_medium=website+click&utm_campaign=SDM&utm_id=GMB
London,Berners Tavern,"10 Berners St, London W1T 3NP, UK",020 7908 7979,https://www.marriott.com/en-us/hotels/loneb-the-london-edition/dining/?scid=feed67b0-9a2f-4de1-8df6-114544116108
London,Ekstedt at The Yard,"3-5 Great Scotland Yard, London SW1A 2HN, UK",020 7925 4749,https://www.ekstedtattheyard.com/
London,The MAINE,"Lower Ground, 6, Medici Courtyard, London W1S 1JY, UK",020 3432 2192,http://www.themainemayfair.com/?utm_source=GMB&utm_medium=website%20click&utm_campaign=SDM&utm_id=GMB
London,Duck & Waffle,"110 Bishopsgate, London EC2N 4AY, UK",020 3640 7310,https://duckandwaffle.com/london/?utm_source=gbp&utm_medium=organic&utm_campaign=london_gbp
London,Osteria romana,"3-4 Park Cl, London SW1X 7PQ, UK",020 7584 5819,http://osteriaromana.co.uk/
London,Noble Rot Soho,"2 Greek St, London W1D 4NB, UK",020 7183 8190,http://www.noblerot.co.uk/
London,Mother Mash Carnaby,"26 Ganton St, Carnaby, London W1F 7QZ, UK",020 4613 8504,https://www.mothermash.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=carnaby_homepage
London,Prezzo,"31-32 Northumberland Ave, London WC2N 5BW, UK",020 3910 9777,https://www.prezzo.co.uk/restaurants/london-northumberland-avenue/
London,The English Grill,"39 Buckingham Palace Rd, London SW1W 0PS, UK",020 7834 6600,https://rubenshotel.com/dining-and-drinks/the-english-grill?utm_source=google&utm_medium=local&utm_campaign=restaurant-englishgrill
London,La Terrazza,"160 Cromwell Rd, London SW5 0TL, UK",020 7442 4242,https://laterrazzakensington.com/
London,La Palombe Kensington,"267 Kensington High St, London W8 6NA, UK",020 7602 6777,https://www.lapalombe.co.uk/
London,Blacklock City,"13 Philpot Ln, London EC3M 8AA, UK",020 7998 7676,https://theblacklock.com/restaurants/city/?utm_source=CITY_GMB&utm_medium=GMB
London,64 Goodge Street,"64 Goodge St, London W1T 4NF, UK",020 3747 6364,http://64goodgestreet.co.uk/
London,Spagnoletti,"23 Euston Rd., London NW1 2SD, UK",020 7843 2221,https://www.spagnoletti.co.uk/
London,St. John,"26 St John St, Barbican, London EC1M 4AY, UK",020 7251 0848,https://www.stjohnrestaurant.com/
London,Chettinad Restaurant,"16 Percy St, London W1T 1DT, UK",020 3556 1229,http://www.chettinadrestaurant.com/
London,Paladar,"4-5 London Rd, London SE1 6JZ, UK",020 7186 5555,http://paladarlondon.com/
London,L'oscar Restaurant,"2-6 Southampton Row, London WC1B 4AA, UK",020 7405 5555,https://www.loscarlondon.com/restaurants-bars/loscar-restaurant/?utm_source=google&utm_medium=local&utm_campaign=los-restaurant
London,Wild Honey St James,"6 Waterloo Pl, London SW1Y 4AN, UK",020 7747 2200,https://www.wildhoneylondon.co.uk/wildhoneystjames/
London,Bouchon Racine,"Upstairs, 66 Cowcross St, London EC1M 6BP, UK",020 7253 3368,https://www.bouchonracine.com/new-home
London,Jollibee Leicester Square,"22 Leicester Square, London WC2H 7LE, UK",,https://www.jollibee.uk/
