Name,Category,Region,Phone,Email,Website
Arcus FM Limited,FM Management,London,07741 740748,mike.forrest@arcusfm.com,https://www.arcusfm.com/
Charlton Athletic FC,FM Management,London,02083334000,tony.keohane@cafc.co.uk,
Cushman and Wakefield Facilities Management Trading Limited,FM Management,London,,andrew.smart@eur.cushwake.com,http://www.cushmanwakefield.co.uk/en-gb/
Reliance FM Ltd,FM Management,London,0203 457 8496,kiran@rfmglobal.com,https://rfmglobal.com/uk/
Almeda Facilities Limited,FM Management,South West,01179376320,jon.nash@almeda.co.uk,http://www.almeda.co.uk
UK Hydrographic Office,FM Management,South West,01823337900,jeff.codd@ukho.gov.uk,
Eric Wright FM Limited,FM Management,North,01772698822,sbamford@ericwright.co.uk,http://www.ericwright.co.uk
Northumbria Healthcare Facilities Management,FM Management,North,0191 2934353,contactus@nhfml.co.uk,https://www.nhfm.co.uk
Galliford Try Facilities Management,FM Management,Midlands,,gtfm@gallifordtry.co.uk,http://www.gallifordtry.co.uk/capabilities/facilities-management
ErgoPlus Facilities Limited,FM Management,Home Counties,02031373434,info@ergoplusfacilities.co.uk,http://www.ergoplusfacilities.co.uk
Student Facility Management,FM Management,Home Counties,07415 642611,gemma.patterson@studentfm.co.uk,https://studentfm.co.uk/
Sussex Facilities Management Ltd,FM Management,Home Counties,01444 812 171,office@sussexfacilities.co.uk,https://www.sussexfacilities.co.uk
Baltimore Group,FM Management,East,07891915550,enquiries@baltimoregroup.co.uk,http://www.baltimoregroup.co.uk
Anabas,FM Service Supplier,London,0844 576 3737,helpdesk@anabas.co.uk,https://www.anabas.co.uk
Capital Maintenance Ltd (part of Sasse Group),FM Service Supplier,London,,,https://www.sasse-group.com
Care Facilities Management Ltd,FM Service Supplier,London,0203 814 4370,,
CBRE Managed Services Ltd,FM Service Supplier,London,02078719100,sales@norlandmangedservices.co.uk,http://www.norlandmanagedservices.co.uk
Chemassist International Ltd,FM Service Supplier,London,08007314441,info@chemassist.co.uk,https://www.chemassist.co.uk
Cleankill Pest Control,FM Service Supplier,London,02086685477,info@cleankill.co.uk,http://www.cleankill.co.uk
Crown Workspace,FM Service Supplier,London,02089762100,crownworkspace@crownww.com,https://www.crownworkspace.com
Danimak Limited,FM Service Supplier,London,02085969040,info@danimak.com,http://www.danimak.com
Government Estates Management,FM Service Supplier,London,02078284466,amandar@gem.gov.uk,
GSH U.K. LTD,FM Service Supplier,London,020 7495 8988,chris.miller@gshgroup.com,https://www.gshgroup.com
