Email Address,SITE,PHONE,REGION,SITECOUNT
aaron@sowga.co.uk,Sowga Ltd,08447703190,South,1
adrian.powell@activews.co.uk,Active Workplace Solutions,08451309066,Home Counties,1
alan@wren-environmental.co.uk,Wren Environmental Ltd,08450858899,London,1
alexw@tempusfm.co.uk,Tempus Facilities Management Ltd,01702 548 950,London,1
amandar@gem.gov.uk,Government Estates Management,02078284466,London,1
andrew.smart@eur.cushwake.com,Cushman and Wakefield Facilities Management Trading Limited,,London,1
bidteamfacilitiesservices@ngbailey.co.uk,NG Bailey Facilities Services,0113 234 3443,North,1
chris.miller@gshgroup.com,GSH U.K. LTD,020 7495 8988,London,1
contactus@nhfml.co.uk,Northumbria Healthcare Facilities Management,0191 2934353,North,1
crownworkspace@crownww.com,Crown Workspace,02089762100,London,1
dave@kimerafm.co.uk,Kimera Facilities Management UK Ltd,01179021363,South West,1
elaine.weir@keyfm.co.uk,Key Technical Services (UK) Ltd,01292672484,London,1
enquires@johnoconnor.co.uk,John O'Conner (GM) Ltd,01438717175,Midlands,1
enquiries@amalgamatedfm.com,Amalgamated Facilities Management Limited,01481252111,South West,1
enquiries@baltimoregroup.co.uk,Baltimore Group,07891915550,East,1
enquiries@bellrockgroup.co.uk,Bellrock Group,0116 464 0800,Midlands,1
enquiries@kgbcleaning.co.uk,KGB Cleaning & Support Services Ltd,02089802222,London,1
enquiries@njcdna.com,Not Just Cleaning Limited,0203 984 4450,London,1
enquiry@fmi.ik,Facilities Management Integrated (Pvt) LTD,+94115940940,East,1
garybark@optimisedbuildings.com,Optimised Buildings Ltd,03333702021,Midlands,1
gbyles@ksdgroupltd.com,KSD Support Services LTD,01273 559 293,South,1
gemma.patterson@studentfm.co.uk,Student Facility Management,07415 642611,Home Counties,1
gtfm@gallifordtry.co.uk,Galliford Try Facilities Management,,Midlands,1
helena.adams@totallyinbound.co.uk,totally 247 Ltd,07894 255901,East,1
hello@ipmf.co.uk,IPM Facilities Ltd,0800 078 6279,South,1
hello@vendingsense.co.uk,Vending Sense,0203 695 5350,Home Counties,1
helpdesk@anabas.co.uk,Anabas,0844 576 3737,London,1
hseq@rclservices.com,Rolfe Contracting Ltd,01582794412,Home Counties,1
info-uk@planonsoftware.com,Planon Limited,01273823557,South,1
info@bsg.uk.com,Business Services Group,01184025608,South,1
info@businessmoves.com,Business Moves Group Ltd,,Home Counties,1
info@chemassist.co.uk,Chemassist International Ltd,08007314441,London,1
info@cleankill.co.uk,Cleankill Pest Control,02086685477,London,1
info@cysgroup.co.uk,CYS Security Ltd,0845 475 1981,Home Counties,1
info@danimak.com,Danimak Limited,02085969040,London,1
info@ergoplusfacilities.co.uk,ErgoPlus Facilities Limited,02031373434,Home Counties,1
info@fidelisgroup.co.uk,Fidelis Group,01216836933,Midlands,1
info@fsgfm.co.uk,Facility Services Group Ltd,01792898040,Wales,1
info@greenfacilities.co.uk,Green Facilities Management Ltd,0800 044 5795,Home Counties,1
info@jdservicesltd.co.uk,JD Services HVAC Limited,01322315588,London,1
info@macegroup.com,Macro Group Limited,02073839700,London,1
info@mrisoftware.com,MRI Software,,London,1
info@ostarasystems.com,Ostara Systems Ltd,08448802582,Midlands,1
info@pfms.co.uk,Platinum Facilities & Maintenance Services Limited,02079775650,London,1
info@precisionfm.co.uk,Precision Facilities Management,0843 289 9085,Midlands,1
info@temco-services.co.uk,TemcoUK Facility Services Limited,01895520370,London,1
info@the-maintainers.com,The Maintainers,+97466823979,London,1
j.furey@bakerstuart.com,BakerStuart Ltd,02037438400,South,1
jeff.codd@ukho.gov.uk,UK Hydrographic Office,01823337900,South West,1
jon.nash@almeda.co.uk,Almeda Facilities Limited,01179376320,South West,1
jonathan.mackie@samsic.uk,Regent Office Care Ltd T/A Samsic UK,0800 678 1170,London,1
joseph@stadiumsupportservices.co.uk,Stadium Support Services Limited,07967672137,London,1
kiran@rfmglobal.com,Reliance FM Ltd,0203 457 8496,London,1
leon.simpson@pinnaclegroup.co.uk,Pinnacle Group,02070172000,London,1
liz.taylor@principlecleaning.com,Principle Cleaning Services Limited,02083414718,London,1
louisa@mcfarlanelatter.co.uk,McFarlane Latter Architects Limited,02072875565,London,1
matt.mannion@skanska.co.uk,Skanska UK Plc,01923 776666,Home Counties,1
mike.forrest@arcusfm.com,Arcus FM Limited,07741 740748,London,1
nigellea@citation.co.uk,Citation ltd,07717227450,North,1
office@johnwestfm.co.uk,John West (Contractors) Ltd FM,01934622891,South West,1
office@sussexfacilities.co.uk,Sussex Facilities Management Ltd,01444 812 171,Home Counties,1
philipg@greenscape.org.uk,Greenscape Services Limited,01215052333,Midlands,1
robert.yeo@workman.co.uk,Workman Facilities Management Ltd,02072276200,London,1
sales@adiltd.co.uk,Adi Facilities Engineering Ltd,01214512255,Midlands,1
sales@gcl.uk.com,GCL Building Technologies Ltd,020 3906 6070,South,1
sales@lanesgroup.co.uk,Lanes Group Plc,01133858400,North,1
sales@nationwidefm.com,Nationwide Cleaning & Support Services,02082883580,Home Counties,1
sales@norlandmangedservices.co.uk,CBRE Managed Services Ltd,02078719100,London,1
samantha.fry@ground-control.co.uk,Ground Control,+447711368702,East,1
sbamford@ericwright.co.uk,Eric Wright FM Limited,01772698822,North,1
scooney@peartreecleaning.co.uk,Peartree Cleaning Services Limited,01277201420,London,1
stephen@rjlifts.co.uk,R J Lifts Group,08009991177,Midlands,1
tony.keohane@cafc.co.uk,Charlton Athletic FC,02083334000,London,1
