Service Name,Service Type,Service Sub-Type,Provision For,Service Address Line 1,Service Address Line 2,Service Town/City,Service Postcode,Local Authority,Maximum No. of Places,Primary telephone number,Primary email address,Website,Provider Name,Provider No. of Approved Services
102 Cefn Road,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",102 Cefn Road,Rogerstone,Newport,NP10 9AS,Newport,3,07884218744,enquiries@principalitycare.com,www.principalitycare.com,Principality Care Ltd,1
106 Thompson Avenue,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",106 Thompson Avenue,,Newport,NP19 4LX,Newport,3,07884218744,enquiries@principalitycare.com,www.principalitycare.com,Principality Care Ltd,2
22 Tal y Wern,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",22 Tal-y-wern,,Port Talbot,SA13 2LZ,Neath Port Talbot,4,01639 887366,lynda.rosselli@communitylives.org,https://www.communitylives.co.uk/,Community Lives Consortium,2
3 Woodside,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",3 Woodside,Tir-y-berth,Hengoed,CF82 8BE,Caerphilly,3,01443821677,admin@pressltd.org,www.pressltd.org,Planned Support Services Ltd,1
52 Narberth Road,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",52 Narberth Road,,Cardiff,CF5 5EY,Cardiff,6,02920 202 509,simon@pilipalacare.co.uk,www.pilipalacare.co.uk,Pilipala Care Ltd,1
57 Tir Morfa,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",57 Tir Morfa Road,,Port Talbot,SA12 7PF,Neath Port Talbot,4,01639881928,lynda.rosselli@communitylives.org,https://www.communitylives.co.uk/,Community Lives Consortium,3
59 Beechley Road,Care Home Service,Adults Without Nursing,Learning disability,Abbeyfield Society,59 Beechley Road,Wrexham,LL13 7AU,Wrexham,7,03309121680,enquiries@fairparkcare.com,www.fairparkcare.com,Fairpark Care Limited,2
86 Bryncelyn,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",86 Bryncelyn,Nelson,Treharris,CF46 6HN,Caerphilly,4,01443451816,admin@pressltd.org,www.pressltd.org,Planned Support Services Ltd,2
A Bright Start Nursery Rumney,Childrens Day Care,Full Day Care,,A Bright Start Day Nursery Ltd,Springmeadow Business Park,Cardiff,CF3 2ES,Cardiff,48,02920795183,abrightstartnurseryrumney@live.co.uk,www.abrightstartnurseryrumney.co.uk,A Bright Start Nursery (Rumney) Ltd,1
A1 Care Services trading as Ty Ceirios Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Mental health, Personal care for adults",A1 Care Services Ltd,Ty Ceiros Nursing Home,Pontypool,NP4 6TJ,Torfaen,44,01495 752358,info@tyceiros.com,,A1 Care Services Ltd,1
Abacus Day Nursery,Childrens Day Care,Full Day Care,,42 Sketty Road,,Swansea,SA2 0LJ,Swansea,43,01792 205100,info@abacusdaynurseries.co.uk,www.abacusdaynurseries.co.uk,Abacus Sketty Road Limited,1
Abbey Childcare,Childrens Day Care,Full Day Care,,C/o Abbey Primary School,Heol Penlan,Neath,SA10 7LB,Neath Port Talbot,28,07375891886,abbeychildcareltd@gmail.com,,Abbey Childcare ltd,1
Abbey Dale House,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Abbey Dale House,61 Princes Drive,Colwyn Bay,LL29 8PW,Conwy,29,07595308249,embracecarehomesltd@gmail.com,https://embracecarehomes.com/lander,ECH COLWYN BAY LIMITED,1
Abbey Dingle Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Abbey Dingle Care Home,Abbey Road,Llangollen,LL20 8DT,Denbighshire,18,01978860432,carol202@btinternet.com,,Abbey Dingle Nursing Homes Ltd,1
Abbey Lodge,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",3 Llys Deri Commercial Street,Ynysddu,Newport,NP11 7JA,Caerphilly,4,01495200698,wendy.gloster@abbeyambitions.co.uk,,Abbey Ambitions,1
ABC Day Nursery Ltd,Childrens Day Care,Full Day Care,,Gwastad Hall,,Wrexham,LL12 9UH,Wrexham,45,01978761819,abcgwastad@gmail.com,www.abcnurseryltd.co.uk,ABC  Daycare Nursery Ltd,4
Aberavon Integrated Children`s Centre,Childrens Day Care,Full Day Care,,c/o Sandfields Primary School,,Port Talbot,SA12 6AX,Neath Port Talbot,69,01639897841,childcare@aberavonicc.org.uk,www.aberavonicc.org.uk,Aberavon Integrated Children's Centre,1
Abergarw Manor,Care Home Service,Adults With Nursing,Nursing care for adults,Brynmenyn,,Bridgend,CF32 9LL,Bridgend,58,01895622500,info.ab@carongroup.wales,www.carongroup.wales,Abergarw Care Home Limited,1
Abergavenny Nursery,Childrens Day Care,Full Day Care,,Randalls Groundworks Ltd,Monmouth House,Abergavenny,NP7 5TT,Monmouthshire,75,07951631059,enquiries@abergavennynursery.co.uk,www.abergavennynursery.co.uk,Abergavenny Nursery,1
Abergavenny Nursery Too,Childrens Day Care,Full Day Care,,26 Lion Street,,Abergavenny,NP7 5NT,Monmouthshire,49,07853276158,enquiries@abergavennynursery.co.uk,www.abergavennynursery.co.uk,Abergavenny Nursery,2
Abermorddu Kids Club,Childrens Day Care,Full Day Care,,Ysgol Abermorddu,Cymau Lane,Wrexham,LL12 9DH,Flintshire,40,07761922604,abcgwastad@gmail.com,,ABC  Daycare Nursery Ltd,3
Aberogwen Farmhouse,Care Home Service,Childrens Home,Personal care for children,,,Barry,,Vale of Glamorgan,4,01446 753683,michael.shirley@hafansaff.co.uk,www.hafansaff.co.uk,Hafan Saff Cyf,2
Aberporth Bilingual Playgroup,Childrens Day Care,Full Day Care,,Aberporth Bilingual Playgroup,"Hen Gapel, The Vestry",Cardigan,SA43 2DA,Ceredigion,21,07410881722,aberporthplaygroup@gmail.com,,Aberporth Bilingual Playgroup,1
Abigail's Day Nursery,Childrens Day Care,Full Day Care,,Abigails Day Nursery,Avenue House 1-2,Caerphilly,CF83 1HE,Caerphilly,65,02920851046,manager@abigailsdaynursery.co.uk,www.abigailsdaynursery.co.uk,Abigail's Day Nurseries Limited,1
Acorn Nursery Ltd trading as Little Acorns Day Nursery,Childrens Day Care,Full Day Care,,37 Bryn Road,Brynmill,Swansea,SA2 0AR,Swansea,34,01792465701,littleacornsdaynurseryswansea@aol.co.uk,www.littleacornsswansea.co.uk,Acorn Nursery Ltd,1
Acorns Day Nursery Mini Adventures,Childrens Day Care,Creche,,Adventure Centre,Bluestone Resort,Narberth,SA67 8DE,Pembrokeshire,76,01834869900,dom.morse@bluestonewales.com,www.bluestonewales.com,"Bluestone Resorts Ltd, The Hive",1
Acorns Holiday Club,Childrens Day Care,Out of School Care,,Ysgol Gymraeg Y Trallwng,Howell Drive,Welshpool,SY21 7AT,Powys,16,01938552743,acornsholidayclubwelshpool@gmail.com,,Little Acorns Children's Daycare Ltd,2
Acorns Playgroup,Childrens Day Care,Sessional Day Care,,The Community Church Centre,15 Prices Lane,Rhosddu,LL11 2NB,Wrexham,26,07516254623,acorns_playgroup@live.co.uk,www.fathersplace.org.uk/Acorns Playgroup,Father`s Place trading as The Community Church,1
Active 8,Care Home Service,Childrens Home,Personal care for children,,,Menai Bridge,,Isle of Anglesey,5,01248812902,manager.active8@keys-group.co.uk,,Keys Active 8 Care Limited,1
Acton Childcare,Childrens Day Care,Full Day Care,,Acton Park Primary School,Box Lane,Wrexham,LL12 8BT,Wrexham,50,01978 447071,enquiries@lot3.co.uk,,Lot 3 Ltd,2
Acton Wraparound Care,Childrens Day Care,Full Day Care,,Box Lane,,Wrexham,LL12 8BT,Wrexham,50,,actonchildcare@outlook.com,,GVCC,1
Ael-y-Bryn,Care Home Service,Adults Without Nursing,Personal care for adults,Ael Y Bryn,160 Llanllienwen Road Cwmrhydyceirw,Swansea,SA6 6LT,Swansea,30,01792773877,admin@ael-y-bryn.com,www.ael-y-bryn.com,Ael-y-Bryn Ltd,1
Afon Goch,Care Home Service,Childrens Home,Personal care for children,,,Caernarfon,,Gwynedd,3,01286872466,manager@afongoch.co.uk,www.afongoch.co.uk,AFON GOCH CHILDREN'S HOMES LTD,1
Aingarth Rest Home Ltd,Care Home Service,Adults Without Nursing,Personal care for adults,Ain Garth Private Residential Home,50 Brompton Avenue Rhos On Sea,Colwyn Bay,LL28 4TP,Conwy,19,01492540692,aingarth-manager@outlook.com,,AINGARTH REST HOME LTD,1
Alastair House,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Alastair Nursing Home,13-15 Foryd Road,Rhyl,LL18 5BA,Conwy,15,01745334560,mrk@alastairhouse.com,https://www.alastairhouse.com/,ALASTAIR HOUSE LIMITED,1
Albert Edward Prince of Wales Court,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Albert Edward Prince Of Wales Court,Penylan Avenue,Porthcawl,CF36 3LY,Bridgend,76,01656 785311,aepow_admin@rmbi.care,www.rmbi.org.uk,The Royal Masonic Benevolent Institution Care Company,1
Alexandra House,Care Home Service,Childrens Home,Personal care for children,,,Tredegar,,Caerphilly,1,07791658355,hywel.may@caloncare.co.uk,,Càlon Care Services Limited,1
Alexandra House ,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",3 Highbury Avenue,,Prestatyn,LL19 7NR,Denbighshire,4,01745889179,info@alexandrahouse-supportservices.co.uk,www.alexandrahouse-supportservices.co.uk,Alexandra House Support Services Ltd,3
Alexandra House Residential Denbigh,Care Home Service,Adults Without Nursing,Learning disability,17 Park Street,,Denbigh,LL16 3DB,Denbighshire,4,01745889179,info@alexandrahouse-supportservices.co.uk,www.alexandrahouse-supportservices.co.uk,Alexandra House Support Services Ltd,1
Alexandra Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Alexandra Nursing Home,Sandilands Road,Tywyn,LL36 9AS,Gwynedd,25,01654711734,alexandratywyn@gmail.com,http://alexandranursinghome.com/,ALEXANDRA TYWYN LIMITED,1
All About Kids Childcare,Childrens Day Care,Full Day Care,,All About Kids Childcare,Rural North Flintshire Family Centre,Gronant,LL19 9YP,Flintshire,19,07538715134,allaboutkidsgronant@gmail.com,,All about kids Childcare,1
All Born Curious childcare,Childrens Day Care,Full Day Care,,Apolistic Church,Brynna Road,Port Talbot,SA12 9LL,Neath Port Talbot,20,,,,All Born Curious childcare  LTD,1
