Service Name,Service Type,Service Sub-Type,Provision For,Service Address Line 1,Service Address Line 2,Service Town/City,Service Postcode,Local Authority,Maximum No. of Places,Primary telephone number,Primary email address,Website,Provider Name,Provider No. of Approved Services
17 Ffordd Garnedd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",17 Ffordd Garnedd,,Y Felinheli,LL56 4QY,Gwynedd,2,01248670144,Shelley.Williams@caretech-uk.com,https://www.caretech-uk.com,Prestwood Residential Homes Ltd and CareTech Community Services Limited.,6
1A Stockwell Road,Care Home Service,Adults Without Nursing,Personal care for adults,1a Stockwell Road,,Pembroke Dock,SA72 6TQ,Pembrokeshire,5,01646687517,enquiries@orbis-group.co.uk,www.orbis-group.co.uk,Pembrokeshire Resource Centre LTD,3
2 Ffordd Siabod,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",2 Ffordd Siabod,,Y Felinheli,LL56 4XA,Gwynedd,2,01248670396,Shelley.Williams@caretech-uk.com,https://www.caretech-uk.com,Prestwood Residential Homes Ltd and CareTech Community Services Limited.,5
20 Francis Avenue,Care Home Service,Adults Without Nursing,"Learning disability, Mental health",20 Francis Avenue,Rhos On Sea,Colwyn Bay,LL28 4DW,Conwy,5,01492545370,manager20francis@randomlightuk.com,www.coeddu.com,Coed Du Hall Ltd,3
3 @ Cradoc,Childrens Day Care,Full Day Care,,Cradoc Junior School,Cradoc,Brecon,LD3 9LR,Powys,19,01874 622555,office.cradoc@golwgpenyfan.powys.sch.uk,https://golwgpenyfan.powys.sch.uk/,Powys County Council Child Care and Play Services,10
3 Cwlach Road,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",3 Cwlach Road,,Llandudno,LL30 2HT,Conwy,5,01492860599,Lauren.Nhanga@caretech-uk.com,https://www.caretech-uk.com,Prestwood Residential Homes Ltd and CareTech Community Services Limited.,1
36 Trinity Ave,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",36 Trinity Avenue,,Llandudno,LL30 2TQ,Conwy,5,01492871381,hd.prestwood@caretech-uk.com,https://www.caretech-uk.com/,Prestwood Residential Homes Ltd and CareTech Community Services Limited.,3
4 Chester Road,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",4 Chester Road,,Wrexham,LL12 7AD,Wrexham,6,01978788595,info@potens-uk.com,www.potens-uk.com,Potensial Ltd,1
7 Clarence Road,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",7 Clarence Road,,Llandudno,LL30 1BX,Conwy,4,01492874355,russell.cook@caretech-uk.com,https://www.caretech-uk.com/,Prestwood Residential Homes Ltd and CareTech Community Services Limited.,2
7-2-11 Club,Childrens Day Care,Out of School Care,,Hawarden Village Church in Wales Primary School,Cross Tree Lane,Hawarden,CH5 3PY,Flintshire,60,07902623022,7211@hawardenvillage.wales,hawardenvillage.net,,
78 Westwood Drive,Care Home Service,Adults Without Nursing,Personal care for adults,78 Westwood Drive,,Treharris,CF46 5BL,Merthyr Tydfil,1,01443 414858,info.78Westwooddrive@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,11
79 Brompton Avenue,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",79 Brompton Avenue,Rhos On Sea,Colwyn Bay,LL28 4TP,Conwy,3,01492 540778,ryecroft@coeddu.com,www.coeddu.com,Coed Du Hall Ltd,2
80 Westwood Drive,Care Home Service,Adults Without Nursing,Personal care for adults,80 Westwood Drive,,Treharris,CF46 5BL,Merthyr Tydfil,1,01443 809335,info.80Westwooddrive@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,12
85 Brecon Road,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",85 Brecon Road,,Abergavenny,NP7 7RD,Monmouthshire,5,01873853802,rachelrussell@priorygroup.com,www.priorygroup.com,PARKCARE HOMES (NO.2) LIMITED,8
90 Windsor Road,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",90 Windsor Road,,Penarth,CF64 1JL,Vale of Glamorgan,4,02920394410,Jenny.EVANS@iriscaregroup.co.uk,www.iriscaregroup.co.uk,Ocean Community Services Limited,3
Abbeyfield Day Nursery,Childrens Day Care,Full Day Care,,Rhosnesni Farm,,Wrexham,LL13 9NF,Wrexham,40,01978355220,abbeyfields1995@hotmail.co.uk,abbeyfieldswrexham.co.uk,,
ABC Pre-school Nursery,Childrens Day Care,Full Day Care,,7 & 9 Castle High,,Haverfordwest,SA61 2SP,Pembrokeshire,19,01437776765,abcpre-school@hotmail.co.uk,no,,
Abermill,Care Home Service,Adults Without Nursing,Personal care for adults,Abermill Care Home,Thomas Street Abertridwr,Caerphilly,CF83 4AY,Caerphilly,38,02920831622,stephanie.williams@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,1
Aberpennar,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Aberpennar Court Care Home,Windsor Road,Mountain Ash,CF45 3BH,Rhondda Cynon Taf,47,01443477677,Aberpennar.HomeManager@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,2
Abersychan Under Fives,Childrens Day Care,Full Day Care,,Brynteg Community Hall,,"Abersychan, Pontypool",NP4 7BG,Torfaen,19,07889346348,pontymoileoffice@gmail.com,,,
Acorns ActionPak,Childrens Day Care,Out of School Care,,Whitchurch High School,Penlline Road,Cardiff,CF14 2XJ,Cardiff,297,02920 382009,actionpak@acornsnurseries.co.uk,www.action-pak.co.uk,Acorns Nurseries Ltd,7
Acorns Duffryn,Childrens Day Care,Full Day Care,,Alma House,Lighthouse Road,Newport,NP10 8TG,Newport,48,01633 816222,duffryn@acornsnurseries.co.uk,www.acornsnurseries.co.uk,Acorns Nurseries Ltd,8
"Acorns House, Park Grove",Childrens Day Care,Full Day Care,,Acorns Nurseries Ltd,3-7,Cardiff,CF10 3BJ,Cardiff,147,02920222789,acornshouse@acornsnurseries.co.uk,www.acornsnurseries.co.uk,Acorns Nurseries Ltd,4
Acorns Llandaff,Childrens Day Care,Full Day Care,,Acorns Nurseries Ltd,5 Fairwater Road,Cardiff,CF5 2LD,Cardiff,92,02920560896,llandaff@acornsnurseries.co.uk,www.acornsnurseries.co.uk,Acorns Nurseries Ltd,1
Acorns Nursery,Childrens Day Care,Full Day Care,,Rhos Y Fedwen Primary School,Honeyfield Road,Ebbw Vale,NP23 5TA,Blaenau Gwent,20,07534927264,nigelmel@aol.com,acornsnursery@aol.com,,
Acorns Oakfield Street,Childrens Day Care,Full Day Care,,Acorns Nursery,14-16,Cardiff,CF24 3RD,Cardiff,49,02920484593,acorns@acornsnurseries.co.uk,www.acornsnurseries.co.uk,Acorns Nurseries Ltd,5
Acorns ONS,Childrens Day Care,Full Day Care,,Government Buildings,Cardiff Road,Newport,NP10 8XG,Newport,120,01633 810202,ons@acornsnurseries.co.uk,www.acornsnurseries.co.uk,Acorns Nurseries Ltd,9
Acorns Out of School Club Mynydd Isa,Childrens Day Care,Out of School Care,,Mynydd Isa Junior School,Chambers Lane,Mold,CH7 6SJ,Flintshire,66,01352752714,AcornsandOwls1@gmail.com,,,
Acorns Parc Nantgarw,Childrens Day Care,Full Day Care,,Coleg Morgannwg,Heol yr Odyn,Nantgarw,CF15 7QX,Rhondda Cynon Taf,72,01443842220,morgannwg@acornsnurseries.co.uk,www.acornsnurseries.co.uk,Acorns Nurseries Ltd,10
Acorns Priory House,Childrens Day Care,Full Day Care,,Priory House,1 Lisvane Road,Cardiff,CF14 0SA,Cardiff,90,02920761977,llanishen@acornsnurseries.co.uk,www.acornsnurseries.co.uk,Acorns Nurseries Ltd,2
Acorns USW,Childrens Day Care,Full Day Care,,University Of South Wales,Treforest,Pontypridd,CF37 1DL,Rhondda Cynon Taf,60,01443407815,usw@acornsnurseries.co.uk,www.acornsnurseries.co.uk,Acorns Nurseries Ltd,11
Acorns Whitchurch,Childrens Day Care,Full Day Care,,15 Church Road,Whitchurch,Cardiff,CF14 2DX,Cardiff,84,02920625888,whitchurch@acornsnurseries.co.uk,www.acornsnurseries.co.uk,Acorns Nurseries Ltd,3
Action For Children Stepping Stones,Childrens Day Care,Creche,,Mayhill Family Centre,Mayhill Road,Swansea,SA1 6TD,Swansea,9,01792477130,katherine.gilmour@actionforchildren.org.uk,,Action for Children,4
Afan Playgroup,Childrens Day Care,Full Day Care,,Cymmer Afan Primary School,Margam Street,Port Talbot,SA13 3EE,Neath Port Talbot,21,07811 215188,afanplaygroup@hotmail.com,,,
Annexe Alive Club,Childrens Day Care,Out of School Care,,Brookfield Primary School,Mold Road,Connah`s Quay,CH5 4QL,Flintshire,65,01244 836768,sian.bland-chaloner@ycn.flintshire.sch.uk,https://www.ysgolcaernant.co.uk/,,
