Email Address,SITE,LOCALAUTH,SITECOUNT
6702235_yggllwynderw@hwbcymru.net,Mes Llwynderw,Swansea,1
a.park@merthyr.ac.uk,Here We Grow,Merthyr Tydfil,1
abbeychildcareltd@gmail.com,Abbey Childcare,Neath Port Talbot,1
abbie.meredith@brighterfuturescymru.com,Tynewydd House,Rhondda Cynon Taf,1
abc@allborncurious.co.uk,All Born Curious Limited,Neath Port Talbot,1
abcgwastad@gmail.com,ABC Day Nursery Ltd and 3 other services you run,Wrexham,4
aberporthplaygroup@gmail.com,Aberporth Bilingual Playgroup,Ceredigion,1
abrightstartnurseryrumney@live.co.uk,A Bright Start Nursery Rumney,Cardiff,1
acorns_playgroup@live.co.uk,Acorns Playgroup,Wrexham,1
acornsholidayclubwelshpool@gmail.com,Acorns Holiday Club,Powys,1
actonchildcare@outlook.com,Acton Wraparound Care,Wrexham,1
admin.parkhousecourt@gmail.com,Park House Court Nursing Home ,Pembrokeshire,1
admin.spittal@pembrokeshire.gov.uk,Spittal School Playgroup,Pembrokeshire,1
admin.stmarks@pembrokeshire.gov.uk,St. Mark's Little Lions,Pembrokeshire,1
admin.tenbyvc@pembrokeshire.gov.uk,Tiny Treasures Day Care,Pembrokeshire,1
admin01@glangarnant.co.uk,Glangarnant Care Home,Neath Port Talbot,1
admin@ael-y-bryn.com,Ael-y-Bryn,Swansea,1
admin@affalon-house.co.uk,Caeffair Ltd Affalon house nursing home ,Carmarthenshire,1
admin@ashdale.care,Ashdale Nursing Home,Pembrokeshire,1
admin@balmoralcare.com,Balmoral House - Skyline Care Ltd ,Denbighshire,1
admin@bethshan.uk,Bethshan Sheltered Housing Association,Powys,1
admin@birribi.org,Brynteg and 2 other services you run,Pembrokeshire,3
admin@campfantastic.co.uk,Camp Fantastic,Newport,1
admin@carmarthen-breakthro.co.uk,Carmarthen Breakthro,Carmarthenshire,1
admin@carninglitrust.org,Clayford and 3 other services you run,Pembrokeshire,4
admin@danesbrook.com,Danesbrook House,Cardiff,1
admin@forwardwalesltd.co.uk,Kingsland House Care Home,Vale of Glamorgan,1
admin@foxtroyhouse.com,Foxtroy House,Bridgend,1
admin@goldenmanorchildcare.co.uk,Golden Manor Nursery,Pembrokeshire,1
admin@happylittledragons.co.uk,Happy Little Dragons,Rhondda Cynon Taf,1
admin@hapuscaregroup.com,Morgannwg House,Powys,1
admin@hapusdyrfa.com,Clwb Goleudy and 2 other services you run,Carmarthenshire,3
admin@hillviewcarehome.co.uk,Hill View Care Home Ltd,Caerphilly,1
admin@katesdaynursery.com,Kate's Day Nursery Ltd,Flintshire,1
admin@maenoraur.co.uk,Maenor Aur,Pembrokeshire,1
admin@oaksnewtown.co.uk,The Oaks,Powys,1
admin@oakwood-nursing-home.co.uk,Oakwood Nursing Home,Rhondda Cynon Taf,1
admin@openmindsrehab.com,Stanley Villa,Wrexham,1
admin@pant-y-cendy-hall.co.uk,Pant-y-Cendy Hall,Carmarthenshire,1
admin@pentwyncare.co.uk,Pentwyn House Nursing Home,Newport,1
admin@perthyn.org.uk,Fairfield House,Cardiff,1
admin@pressltd.org,3 Woodside and 2 other services you run,Caerphilly,3
admin@redbrook-nursery.co.uk,Redbrook Day Nursery,Wrexham,1
admin@saintdavidscare.com,St David's Residential Home,Denbighshire,1
admin@selcadaynursery.co.uk,Selca Day Nursery - Bridgend Road and 4 other services you run,Rhondda Cynon Taf,5
admin@silverliningcare.co.uk,Ty-Seren,Powys,1
admin@skylarkcaresolutions.org,The Haven,Newport,1
admin@stbrelades.uk,St Brelades,Neath Port Talbot,1
admin@stchamonds.co.uk,St Chamond's,Denbighshire,1
admin@taliesinresidentialhome.com,Taliesin Residential Home,Rhondda Cynon Taf,1
admin@trosnantcarehome.co.uk,Trosnant Residential Home,Denbighshire,1
admin@willowsbrecon.co.uk,Willows Day Care Brecon,Powys,1
admin@ybont.com,Y Bont Nursery,Bridgend,1
adultcare@priorygroup.com,Fairhome,Wrexham,1
aepow_admin@rmbi.care,Albert Edward Prince of Wales Court,Bridgend,1
afterschoolclubarw@gmail.com,Archbishop Rowan Williams After School Club,Monmouthshire,1
aingarth-manager@outlook.com,Aingarth Rest Home Ltd,Conwy,1
alex.bartley@basesupport.co.uk,Connaught Rd and 2 other services you run,Cardiff,3
alex.cornford@willowbrookhouse.co.uk,Willowbrook House Nursing Home,Cardiff,1
alex.farley@arc-care.co.uk,Eden House,Swansea,1
alexandratywyn@gmail.com,Alexandra Nursing Home,Gwynedd,1
alexis.redwood@hanbury-care.com,Usk House,Blaenau Gwent,1
ali.cooling@expanding-horizons.co.uk,Panorama Bungalow,Torfaen,1
allaboutkidsgronant@gmail.com,All About Kids Childcare,Flintshire,1
allison.brown@wellcomecarehomes.com,Annedd ,Carmarthenshire,1
allsorts.pg@gmail.com,Allsorts Nursery,Powys,1
alphabetplaygroup@gmail.com,Alphabet Playgroup Limited,Monmouthshire,1
amanda.littler@sferacare.co.uk,Bay Tree House (WXM) Limited,Wrexham,1
amanda.perkins@salutemsharedservices.co.uk,Ty Cwtch,Cardiff,1
amanda@glendevon-care.com,Glen Devon,Denbighshire,1
amanda@oakdalemanor.co.uk,Oakdale Manor,Caerphilly,1
amlwchpreschoolplaygroup@gmail.com,Amlwch Pre-School Playgroup,Isle of Anglesey,1
ammanhouse@innovative-care.co.uk,Amman House,Carmarthenshire,1
amy@we-are-unique.care,Ochr Y Marian,Denbighshire,1
amybvergamterrace@hotmail.com,Home Address Ltd,Pembrokeshire,1
amyd.office@gmail.com,The Rookery,Carmarthenshire,1
amyjones2@llamau.org.uk,St Paul's,Vale of Glamorgan,1
andrea.tregoning@nptcgroup.ac.uk,Lilliput Day Nursery - Neath Campus,Neath Port Talbot,1
andrea@glaishouse.com,Glais House Care Ltd ,Swansea,1
andrew.lester27@btinternet.com,Ty Derwen,Caerphilly,1
angela@sunsetwest.co.uk,Torestin Care Home,Pembrokeshire,1
angelsnursery1970@hotmail.co.uk,Little Angels Playgroup,Newport,1
angus-aubreyj5@hwbcymru.net,Nant Y Groes Playgroup,Conwy,1
annstartrite@yahoo.co.uk,Startrite Nursery,Caerphilly,1
applebestcare21@gmail.com,Apple Residential Care,Conwy,1
appletreedaynursery@hotmail.co.uk,Appletree Day Nursery (WALES) Redwick Ltd,Newport,1
aran.admin@senadgroup.com,Aran Hall School Ltd,Gwynedd,1
areamanager.apleylodge@gmail.com,Apley Lodge Residential Home,Pembrokeshire,1
areamanager.brynilltyd@gmail.com,Bryn Illytdd ( Care by Morris ltd ),Carmarthenshire,1
arfana.ashraf@wales.nhs.uk,Teddy Bear Nursery,Cardiff,1
argoedplaygroup@gmail.com,Argoed Playgroup,Flintshire,1
arweinydd@cylchcarmel.cymru,Cylch Meithrin Carmel,Gwynedd,1
ash.house@arbourhealthcare.co.uk,Ash House,Wrexham,1
awelymor.gm@barchester.com,Awel y Mor Care Centre,Swansea,1
aym-playgroup@outlook.com,Lots of Tots Flying Start Playgroup,Neath Port Talbot,1
b.jones@omegacaregroup.org,Athena  House,Wrexham,1
babanodbach25@gmail.com,Babanod Bach,Powys,1
babinogionmenai@hotmail.co.uk,Babinogion Menai Cyf,Isle of Anglesey,1
bainwaungron@aol.com,Waungron Mansion Residential Care Home,Pembrokeshire,1
bal@caerleonhouse.co.uk,Caerleon House Nursing Home,Newport,1
bangor.enquiries@cartrefi.coop,Brookfield   and Yr Hen Rheithordy,Gwynedd,2
banyancarehomes@hotmail.com,Red Rose Care Home,Blaenau Gwent,1
barmouthoasisnursery@gmail.com,Barmouth Oasis Nursery,Gwynedd,1
barnabycunningham@cygnethealth.co.uk,Bryn y Wawr and Clynsaer House,Carmarthenshire,2
bchukwu@shaftesburygroup.org,Shaftesbury Brodawel and Shaftesbury Hafan y Coed,Ceredigion,2
bcryouth@hotmail.com,Blaenllechau Youth Project,Rhondda Cynon Taf,1
becca@caedu.wales,Ty Penybanc,Carmarthenshire,1
becky.littlestars@gmail.com,Little stars Penarth,Vale of Glamorgan,1
bedwelltyparkcarehome@yahoo.com,Bedwellty Park Residential Home Limited,Blaenau Gwent,1
beechtreeclub@outlook.com,Beech Tree Before and After School Club,Flintshire,1
belmontcourt@hotmail.co.uk,Belmont Court,Pembrokeshire,1
belmonthouse@aracare.co.uk,Belmont House,Denbighshire,1
belmonthouseresidentialhome@outlook.com,Belmont Residential Care Home,Monmouthshire,1
