"Service URN","Service Name","Known as","Service Type","Service Sub-Type","Provision For","Service Address Line 1","Service Address Line 2","Service Address Line 3","Service Town/City","Service Postcode","Service Address UPRN","Local Authority","Other Service Address(es)","Domiciliary care area","Primary telephone number","Primary email address","Website","Main Operating Language of Service","Flying Start Provider","Registered to deliver childcare offer","Delivers early years part time education","Maximum No. of Places","Service Ratings","Provides care during","Term Time Sunday Opening Time","Term Time Sunday Closing Time","Term Time Sunday Overnight Care Provided","Term Time Monday Opening Time","Term Time Monday Closing Time","Term Time Monday Overnight Care Provided","Term Time Tuesday Opening Time","Term Time Tuesday Closing Time","Term Time Tuesday Overnight Care Provided","Term Time Wednesday Opening Time","Term Time Wednesday Closing Time","Term Time Wednesday Overnight Care Provided","Term Time Thursday Opening Time","Term Time Thursday Closing Time","Term Time Thursday Overnight Care Provided","Term Time Friday Opening Time","Term Time Friday Closing Time","Term Time Friday Overnight Care Provided","Term Time Saturday Opening Time","Term Time Saturday Closing Time","Term Time Saturday Overnight Care Provided","Holidays Sunday Opening Time","Holidays Sunday Closing Time","Holidays Sunday Overnight Care Provided","Holidays Monday Opening Time","Holidays Monday Closing Time","Holidays Monday Overnight Care Provided","Holidays Tuesday Opening Time","Holidays Tuesday Closing Time","Holidays Tuesday Overnight Care Provided","Holidays Wednesday Opening Time","Holidays Wednesday Closing Time","Holidays Wednesday Overnight Care Provided","Holidays Thursday Opening Time","Holidays Thursday Closing Time","Holidays Thursday Overnight Care Provided","Holidays Friday Opening Time","Holidays Friday Closing Time","Holidays Friday Overnight Care Provided","Holidays Saturday Opening Time","Holidays Saturday Closing Time","Holidays Saturday Overnight Care Provided","Responsible Individual Names","Registered Person Names","Standard Conditions","Imposed Conditions","Provider URN","Provider Name","Provider Address Line 1","Provider Address Line 2","Provider Address Line 3","Provider Town/City","Provider Postcode","Provider Address UPRN","Provider Type","Company Number","Charity Number","Provider Website","Provider Registration Date","Provider Conditions","Provider No. of Approved Services","Last Updated On"
"SIN-00015562-BTNV","102 Cefn Road","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","102 Cefn Road","Rogerstone","","Newport","NP10 9AS","100100655375","Newport","","","07884218744","enquiries@principalitycare.com","www.principalitycare.com","English","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alun Phillips","","Principality Care Ltd is registered to provide a Care Home Service at 102 Cefn Road 102 Cefn Road, Rogerstone, Newport, NP10 9AS; The responsible individual for this service is Alun William Phillips; A maximum of 3 individuals can be accommodated at this service.","","SPROV-00006506-BRWP","Principality Care Ltd","C/o Golden Valley Accountancy Ltd","17 Nevill Street","","Abergavenny","NP7 5AA","","Limited Company","16128976","","www.principalitycare.com","19/08/2025","","1","22/05/2026 15:56"
"SIN-00015973-NSLG","106 Thompson Avenue","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","106 Thompson Avenue","","","Newport","NP19 4LX","100100690581","Newport","","","07884218744","enquiries@principalitycare.com","www.principalitycare.com","English","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alun Phillips","","A maximum of 3 individuals can be accommodated at this service.; Principality Care Ltd is registered to provide a Care Home Service at 106 Thompson Avenue 106 Thompson Avenue, Newport, NP19 4LX; The responsible individual for this service is Alun William Phillips","","SPROV-00006506-BRWP","Principality Care Ltd","C/o Golden Valley Accountancy Ltd","17 Nevill Street","","Abergavenny","NP7 5AA","","Limited Company","16128976","","www.principalitycare.com","19/08/2025","","2","22/05/2026 16:00"
"SIN-00010343-PKWP","17 Ffordd Garnedd","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","17 Ffordd Garnedd","","","Y Felinheli","LL56 4QY","200003194001","Gwynedd","","","01248670144","Shelley.Williams@caretech-uk.com","https://www.caretech-uk.com","English","","","","2","Well-being: Good; Care and Support: Good; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Deana Whittle","","The responsible individual for this service is deana Marie whittle; A maximum of 2 individuals can be accommodated at this service; Prestwood Residential Homes Ltd and CareTech Community Services Limited are registered to provide a Care Home Service at 17 Ffordd Garnedd , Y Felinheli LL56 4QY","","SPROV-00000899-YKJP","Prestwood Residential Homes Ltd and CareTech Community Services Limited.","4th Floor","Parkview","82 Oxford Road","Uxbridge","UB8 1UX","","Limited Company","04129564","","www.caretech-uk.com","30/05/2019","","6","27/08/2025 11:34"
"SIN-00010015-QMPY","1A Stockwell Road","","Care Home Service","Adults Without Nursing","Personal care for adults","1a Stockwell Road","","","Pembroke Dock","SA72 6TQ","10023953571","Pembrokeshire","","","01646687517","enquiries@orbis-group.co.uk","www.orbis-group.co.uk","English","","","","5","Well-being: Good; Care and Support: Good; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lyndsey Price","","The responsible individual for this service is Lyndsey Price; A maximum of 5 individuals can be accommodated at this service; Pembrokeshire Resource Centre LTD is registered to provide a Care Home Service at 1A Stockwell Road 1A, STOCKWELL ROAD, PEMBROKE DOCK SA72 6TQ","","SPROV-00000737-SNVF","Pembrokeshire Resource Centre LTD","Pembroke Resource Centre Ltd ","Vision Court ","Caxton Place, Pentwyn ","Cardiff ","CF23 8HA","100100895488","Limited Company","04701044","","www.orbis-group.co.uk","29/11/2018","","3","09/07/2025 08:12"
"SIN-00011401-YJSK","1st Affinity Fostering Service ","","Fostering Service","None","","First Affinity Fostering Service","4a Chester Road","","Wrexham","LL12 8TN","10023170315","Wrexham","","","01978856444","colin.tucker@firstaffinityfostering.co.uk","https://www.1st-affinity-fostering.co.uk","English","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Colin Tucker","","1st Affinity Fostering Service Limited  is registered to provide a Fostering Service in Wales.; The responsible individual for this service is Colin Leslie  Tucker","","SPROV-00001146-KFVM","1st Affinity Fostering Service Limited ","First Affinity Fostering Service","4a Chester Road","Gresford","Wrexham","LL12 8TN","10023170315","Limited Company","07930262","","www.1st-affinity-fostering.co.uk","15/10/2019","","1","21/05/2025 15:18"
"SIN-00009064-NLFH","1st Grade Care (Cardiff & Vale)","","Domiciliary Support Service","None","Supported living","1st Grade Care Ltd","Unit 2 Charterhouse Links Business Park","Fortran Road","Cardiff","CF3 0LT","10092048333","","","Cardiff and Vale","02922 520138","director@1stgradecare.co.uk","www.1stgradecare.co.uk","English","","","","0","Well-being: Good; Care and Support: Excellent; Leadership and Management: Excellent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Michael Poole","","The responsible individual for this service is Michael Frank William Poole; 1st Grade Care Ltd is registered to provide a domiciliary support service in Cardiff and Vale regional partnership area","","SPROV-00000274-RBBJ","1st Grade Care Ltd","Charter House Ii ","Links Business Park ","Fortran Road ","St Mellons, Cardiff ","CF3 0LT","","Limited Company","06807906","","www.1stgradecare.co.uk","04/10/2018","","1","22/05/2026 12:04"
"SIN-00009065-JDFD","1st Grade Care (Gwent)","","Domiciliary Support Service","None","Supported living","1st Grade Care Ltd","Unit 2 Charterhouse Links Business Park","Fortran Road","Cardiff","CF3 0LT","10092048333","","","Gwent","02922 520138","director@1stgradecare.co.uk","www.1stgradecare.co.uk","English","","","","0","Well-being: Good; Care and Support: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Michael Poole","","The responsible individual for this service is Michael Frank William Poole; 1st Grade Care Ltd is registered to provide a domiciliary support service in Gwent regional partnership area","","SPROV-00000274-RBBJ","1st Grade Care Ltd","Charter House Ii ","Links Business Park ","Fortran Road ","St Mellons, Cardiff ","CF3 0LT","","Limited Company","06807906","","www.1stgradecare.co.uk","04/10/2018","","2","18/08/2025 10:10"
"SIN-00010342-RGKW","2 Ffordd Siabod","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","2 Ffordd Siabod","","","Y Felinheli","LL56 4XA","200003194104","Gwynedd","","","01248670396","Shelley.Williams@caretech-uk.com","https://www.caretech-uk.com","English","","","","2","Well-being: Excellent; Care and Support: Good; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Deana Whittle","","The responsible individual for this service is deana Marie whittle; A maximum of 2 individuals can be accommodated at this service; Prestwood Residential Homes Ltd and CareTech Community Services Limited are registered to provide a Care Home Service at 2 Ffordd Siabod, Y Felinheli LL56 4XA","","SPROV-00000899-YKJP","Prestwood Residential Homes Ltd and CareTech Community Services Limited.","4th Floor","Parkview","82 Oxford Road","Uxbridge","UB8 1UX","","Limited Company","04129564","","www.caretech-uk.com","30/05/2019","","5","26/08/2025 16:10"
"SIN-00011220-TVRN","20 Francis Avenue","","Care Home Service","Adults Without Nursing","Learning disability, Mental health","20 Francis Avenue","Rhos On Sea","","Colwyn Bay","LL28 4DW","100100951393","Conwy","","","01492545370","manager20francis@randomlightuk.com","www.coeddu.com","English","","","","5","Well-being: Excellent; Care and Support: Excellent; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Esther Jones","","A maximum of 5 individuals can be accommodated at this service; Coed Du Hall Ltd is registered to provide a Care Home Service at 20 Francis Avenue, Rhos On Sea, Colwyn Bay LL28 4DW; The responsible individual for this service is Esther Louise Jones","","SPROV-00000636-NJKH","Coed Du Hall Ltd","Coed Du Hall Ltd","6-8 Old Hall Road","Gatley","Cheadle, Cheshire","SK8 4BE","","Limited Company","02873799","","","09/01/2019","","3","03/08/2026 14:38"
"SIN-00009427-GNFH","22 Tal y Wern","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","22 Tal-y-wern","","","Port Talbot","SA13 2LZ","10009177097","Neath Port Talbot","","","01639 887366","lynda.rosselli@communitylives.org","https://www.communitylives.co.uk/","English","","","","4","Well-being: Excellent; Care and Support: Excellent; Environment: Excellent; Leadership and Management: Excellent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lynda Rosselli","","A maximum of 4 individuals can be accommodated at this service; Community Lives Consortium is registered to provide a Care Home Service at 22 Tal y Wern 22 TAL-Y-WERN, PORT TALBOT SA13 2LZ; The responsible individual for this service is Lynda Rosselli","","SPROV-00000475-YVPT","Community Lives Consortium","Community Lives Consortium","23-24","Walter Road","Swansea","SA1 5NN","100100987739","Charitable Company","09442336","1161709","www.communitylives.org","20/05/2019","","2","12/08/2025 05:44"
