Town,Name,Address,Phone,Website,Email,Found on page
Cardiff,The Coal Exchange Hotel,"Building Bay, The Exchange, Mount Stuart Square, Cardiff CF10 5FQ, UK",029 2199 1904,http://coalexchangecardiff.co.uk/,,
Cardiff,Hotel Indigo Cardiff by IHG,"Dominions Arcade, Queen St, Cardiff CF10 2AR, UK",0871 942 9104,https://www.ihg.com/hotelindigo/hotels/gb/en/cardiff/cdfin/hoteldetail?cm_mmc=GoogleMaps-_-IN-_-GB-_-CDFIN,,
Cardiff,Holland House Hotel Cardiff By Sunday,"24 26 Newport Rd, Cardiff CF24 0DD, UK",029 2043 5000,https://www.oyorooms.com/292292/,john@email.com,https://www.oyorooms.com
Cardiff,Angel Hotel Cardiff,"The Angel Hotel, Castle St, Cardiff CF10 1SZ, UK",029 2064 9200,https://www.angelhotelcardiffcity.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb,reception@angelhotelcardiffcity.co.uk,https://www.angelhotelcardiffcity.co.uk
Cardiff,The Parkgate Hotel,"Westgate St, Cardiff CF10 1DA, UK",029 2274 5595,https://www.theparkgatehotel.wales/,,
Cardiff,Cardiff Sandringham Hotel,"21 St Mary St, Cardiff CF10 1PL, UK",029 2023 2161,http://www.sandringham-hotel.com/,,
Cardiff,Manor Parc Hotel,"Thornhill Rd, Cardiff, Thornhill CF14 9UA, UK",029 2069 3723,http://www.manorparc.com/,enquiry@manorparc.com,http://www.manorparc.com
Cardiff,Lincoln House Hotel,"118-120 Cathedral Rd, Pontcanna, Cardiff CF11 9LQ, UK",029 2039 5558,http://lincolnhotel.co.uk/,user@domain.com,http://lincolnhotel.co.uk
Cardiff,Future Inn Cardiff Bay,"Hemingway Rd, Cardiff CF10 4AU, UK",029 2048 7111,https://www.futureinns.co.uk/cardiff/,,
Cardiff,easyHotel Cardiff City Centre,"1-3 Fitzalan Pl, Cardiff CF24 0ED, UK",029 2280 2180,https://www.easyhotel.com/hotels/united-kingdom/cardiff/cardiff-city-centre?utm_source=google&utm_medium=organic&utm_campaign=GMB-owned-cardiff-city-centre,,
Cardiff,Leonardo Hotel Cardiff,"1 Park Pl, Cardiff CF10 3DN, UK",0161 774 2983,https://www.leonardo-hotels.com/cardiff/leonardo-hotel-cardiff,advantageclub@leonardo-hotels.com,https://www.leonardo-hotels.com
Cardiff,Clayton Hotel Cardiff,"St Mary St, Cardiff CF10 1GD, UK",029 2066 8866,https://ad.doubleclick.net/ddm/trackclk/N1074062.3844254CLAYTONHOTELS-OR/B24186235.278861590;dc_trk_aid=472862582;dc_trk_cid=135199307;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;ltd=;dc_tdv=1,,
Cardiff,Parador 44,"14 Quay St., Cardiff CF10 1EA, UK",029 2002 0039,https://grupo44.co.uk/parador44/,,
Cardiff,Royal Hotel Cardiff by Belvilla,"88 St Mary St, Cardiff CF10 1DW, UK",020 4587 8555,https://www.oyorooms.com/361198/,john@email.com,https://www.oyorooms.com
Cardiff,Park Plaza Cardiff,"Greyfriars Rd, Cardiff CF10 3AL, UK",029 2011 1111,https://www.radissonhotels.com/en-us/hotels/park-plaza-cardiff,,
Cardiff,Four Points Flex by Sheraton Cardiff,"Station Approach, Saunders Rd, Cardiff CF10 1RH, UK",029 2047 8747,https://www.marriott.com/en-us/hotels/cwlsu-four-points-flex-cardiff/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,
Cardiff,The Riverhouse,"59 Fitzhamon Embankment, Cardiff CF11 6AN, UK",029 2010 5590,https://www.icardiff.co.uk/riverhouse/,riverhouse@icardiff.co.uk,https://www.icardiff.co.uk
Cardiff,Tanes Hotel,"148 Newport Rd, Cardiff CF24 1DJ, UK",029 2049 3898,http://www.taneshotel.co.uk/,taneshotel@yahoo.co.uk,http://www.taneshotel.co.uk
Cardiff,Elgano Guest House,"58 Cathedral Rd, Pontcanna, Cardiff CF11 9LL, UK",029 2034 4060,https://elgano.co.uk/guest-house/,info@elgano.co.uk,https://elgano.co.uk
Cardiff,ML Lodge,"108 St Mary St, Cardiff CF10 1DX, UK",029 2037 3510,http://www.mllodge.co.uk/,,
