Town,Name,Address,Phone,Website
Cardiff,Cardiff Marriott Hotel,"Mill Ln, Cardiff CF10 1EZ, UK",029 2039 9944,https://www.marriott.com/en-us/hotels/cwldt-cardiff-marriott-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
Cardiff,Premier Inn Cardiff City Centre (Queen Street) hotel,"Helmont House, 10 Churchill Way, Cardiff CF10 2HE, UK",0333 777 3981,https://www.premierinn.com/gb/en/hotels/wales/glamorgan/cardiff/cardiff-city-centre.html?cid=GLBC_CARBAR
Cardiff,Hilton Cardiff,"Kingsway, Greyfriars Rd, Cardiff CF10 3HH, UK",029 2064 6300,https://www.hilton.com/en/hotels/cwlhitw-hilton-cardiff/?SEO_id=GMB-EMEA-TW-CWLHITW
Cardiff,"Radisson Blu Hotel, Cardiff","Meridian Gate, Bute Terrace, Cardiff CF10 2FL, UK",029 2045 4777,https://www.radissonhotels.com/en-us/hotels/radisson-blu-cardiff?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:ukirwe+h:GBCWL1
Cardiff,Holiday Inn Cardiff City Centre by IHG,"Castle St, Cardiff CF10 1XD, UK",0371 942 9240,https://www.ihg.com/holidayinn/hotels/gb/en/cardiff/cdfcy/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-GB-_-CDFCY
Cardiff,Premier Inn Cardiff City Centre (Stadium) hotel,"Custom House St, Cardiff CF10 1AP, UK",0333 321 1262,https://www.premierinn.com/gb/en/hotels/wales/glamorgan/cardiff/cardiff-city-centre-stadium.html?cid=GLBC_CARSTA
Cardiff,Premier Inn Cardiff Bay hotel,"Bute Pl, Cardiff CF10 4AA, UK",0871 527 8000,https://www.premierinn.com/gb/en/hotels/wales/glamorgan/cardiff/cardiff-bay.html?cid=GLBC_CARBAY
Cardiff,Holiday Inn Express Cardiff Bay by IHG,"Longueil Cl, Schooner Way, Cardiff CF10 4EE, UK",029 2044 9000,https://www.ihg.com/holidayinnexpress/hotels/gb/en/cardiff/cdfba/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-GB-_-CDFBA
Cardiff,ZIP by Premier Inn Cardiff,"Ipswich Rd, Cardiff CF23 9AQ, UK",0333 777 3979,https://www.premierinn.com/gb/en/hotels/wales/glamorgan/cardiff/zip-cardiff.html?cid=GLBC_CARROA
Cardiff,Travelodge Cardiff Central,"Imperial Gate, St Mary St, Cardiff CF10 1FA, UK",029 2039 8737,https://www.travelodge.co.uk/hotels/81/cardiff-central-hotel?utm_source=google&utm_medium=GHA_Organic&utm_campaign=GHA_Cardiff%20Central&WT.tsrc=GHA_Organic
Cardiff,"Holiday Inn Cardiff - North M4, JCT.32 by IHG","Merthyr Rd, Cardiff CF15 7AD, UK",029 2052 2262,https://www.ihg.com/holidayinn/hotels/gb/en/cardiff/cwlcn/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-GB-_-CWLCN
Cardiff,Travelodge Cardiff Atlantic Wharf,"Hemingway Rd, Cardiff CF10 4JY, UK",,https://www.travelodge.co.uk/hotels/380/cardiff-atlantic-wharf-hotel?utm_source=google&utm_medium=GHA_Organic&utm_campaign=GHA_Cardiff%20Atlantic%20Wharf&WT.tsrc=GHA_Organic
Cardiff,Mercure Cardiff,"Circle Way East, Llanedeyrn, Cardiff CF23 9XF, UK",020 4602 9658,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B539&merchantid=seo-maps-GB-B539&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps
Cardiff,Travelodge Cardiff Central Queen Street,"The Friary, Cardiff CF10 2PB, UK",0800 640 3453,https://www.travelodge.co.uk/hotels/504/Cardiff-Central-Queen-Street-hotel?utm_source=google&utm_medium=GHA_Organic&utm_campaign=GHA_Cardiff%20Central%20Queen%20Street&WT.tsrc=GHA_Organic
Cardiff,Novotel Cardiff Centre,"Schooner Way, Cardiff CF10 4RT, UK",029 2113 2800,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=5982&merchantid=seo-maps-GB-5982&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps
Cardiff,Village Hotel Cardiff,"Village Hotel, 29 Pendwyallt Rd, Cardiff CF14 7EF, UK",0333 006 5222,https://www.village-hotels.co.uk/hotels/cardiff/?utm_source=google&utm_medium=organic&utm_campaign=cardiff-gmb
Cardiff,Premier Inn Cardiff West hotel,"Port Rd, Nant Isaf, Wenvoe, Cardiff CF5 6DD, UK",0333 777 3985,https://www.premierinn.com/gb/en/hotels/wales/glamorgan/cardiff/cardiff-west.html?cid=GLBC_CARWAL
Cardiff,Park Inn by Radisson Cardiff City Centre,"Mary Ann St, Cardiff CF10 2JH, UK",029 2034 1441,https://www.radissonhotels.com/en-us/hotels/park-inn-cardiff-city-centre?cid=a:se+b:gmb+c:emea+i:local+e:pii+d:ukirwe+h:GBCWLCTR
Cardiff,Premier Inn Cardiff North hotel,"Pentwyn Rd, Cardiff CF23 7XH, UK",0333 777 3984,https://www.premierinn.com/gb/en/hotels/wales/glamorgan/cardiff/cardiff-north.html?cid=GLBC_CARNOR
Cardiff,Travelodge Cardiff Whitchurch,"21 Ty'n-Y-Parc Rd, South Glamorgan, Cardiff CF14 6BH, UK",0871 559 1811,https://www.travelodge.co.uk/hotels/450/cardiff-whitchurch-hotel?utm_source=google&utm_medium=GHA_Organic&utm_campaign=GHA_Cardiff%20Whitchurch&WT.tsrc=GHA_Organic
Swansea,Premier Inn Swansea Waterfront hotel,"The, waterfront development, Langdon Rd, Swansea SA1 8QY, UK",0333 321 9208,https://www.premierinn.com/gb/en/hotels/wales/glamorgan/swansea/swansea-waterfront.html?cid=GLBC_SWAWAT
Swansea,Premier Inn Swansea City Centre hotel,"The City Gates, Wind St, Swansea SA1 1EE, UK",0333 321 9061,https://www.premierinn.com/gb/en/hotels/wales/glamorgan/swansea/swansea-city-centre.html?cid=GLBC_SWACIT
Swansea,ibis Swansea,"Fabian Way, A483, South Wales, Port Tennant, Swansea SA1 8LD, UK",01792 957020,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6653&merchantid=seo-maps-GB-6653&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps
Swansea,Holiday Inn Express Swansea - East by IHG,"Llandarcy, B4290, To, Jersey Marine, Skewen, Neath SA10 6GZ, UK",0371 902 1630,https://www.ihg.com/holidayinnexpress/hotels/gb/en/neath/swssa/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-GB-_-SWSSA
Swansea,Travelodge Swansea Central,"1 Princess Way, Swansea SA1 3LQ, UK",0871 984 6326,https://www.travelodge.co.uk/hotels/333/swansea-central-hotel?utm_source=google&utm_medium=GHA_Organic&utm_campaign=GHA_Swansea%20Central&WT.tsrc=GHA_Organic
Swansea,Mercure Swansea Hotel,"Phoenix Way, Llansamlet, Swansea SA7 9EG, UK",01792 626371,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=8332&merchantid=seo-maps-GB-8332&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps
Swansea,Village Hotel Swansea,"off Langdon Rd, Fabian Way, Swansea SA1 8QY, UK",0333 006 5222,https://www.village-hotels.co.uk/hotels/swansea/?utm_source=google&utm_medium=organic&utm_campaign=swansea-gmb
Swansea,Premier Inn Swansea North hotel,"Upper Fforest Way, Llansamlet, Swansea SA6 8WB, UK",0333 321 9062,https://www.premierinn.com/gb/en/hotels/wales/glamorgan/swansea/swansea-north.html?cid=GLBC_SWABRE
Swansea,Best Western Aberavon Beach Hotel,"Swansea, Port Talbot SA12 6QP, UK",01639 884949,https://www.bestwestern.co.uk/hotels/best-western-aberavon-beach-hotel-83465?utm_source=google_places&utm_medium=organic&utm_campaign=Best_Western_Aberavon_Beach_Hotel
Swansea,Travelodge Swansea M4,"Moto Service Area, M4 Motorway, Tircoed Forest Village, Penllergaer, Pontlliw, Swansea SA4 9GT, UK",0871 984 6055,https://www.travelodge.co.uk/hotels/100/swansea-m4-hotel?utm_source=google&utm_medium=GHA_Organic&utm_campaign=GHA_Swansea%20M4&WT.tsrc=GHA_Organic
Newport,Mercure Newport,"Chartist Tower, Upper Dock St, Newport NP20 1DW, UK",01633 837700,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B3G0&merchantid=seo-maps-GB-B3G0&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps
Newport,ibis budget Newport,"164 Malpas Rd, Newport NP20 5PP, UK",01633 859058,https://all.accor.com/hotel/6814/index.en.shtml?goto=fiche_hotel&code_hotel=6814&merchantid=seo-maps-GB-6814&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps
Newport,Holiday Inn Express Newport by IHG,"Lakeside Dr, Duffryn, Newport NP10 8BB, UK",0371 902 1626,https://www.ihg.com/holidayinnexpress/hotels/gb/en/newport/nptcs/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-GB-_-NPTCS
Newport,Travelodge Newport Central,"66 Bridge St, Baneswell, Newport NP20 4AP, UK",0871 984 6411,https://www.travelodge.co.uk/hotels/399/newport-central-hotel?utm_source=google&utm_medium=GHA_Organic&utm_campaign=GHA_Newport%20Central&WT.tsrc=GHA_Organic
