Town,Name,Address,Phone,Website
Cardiff,The Coal Exchange Hotel,"Building Bay, The Exchange, Mount Stuart Square, Cardiff CF10 5FQ, UK",029 2199 1904,http://coalexchangecardiff.co.uk/
Cardiff,Cardiff Marriott Hotel,"Mill Ln, Cardiff CF10 1EZ, UK",029 2039 9944,https://www.marriott.com/en-us/hotels/cwldt-cardiff-marriott-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
Cardiff,Hotel Indigo Cardiff by IHG,"Dominions Arcade, Queen St, Cardiff CF10 2AR, UK",0871 942 9104,https://www.ihg.com/hotelindigo/hotels/gb/en/cardiff/cdfin/hoteldetail?cm_mmc=GoogleMaps-_-IN-_-GB-_-CDFIN
Cardiff,Holland House Hotel Cardiff By Sunday,"24 26 Newport Rd, Cardiff CF24 0DD, UK",029 2043 5000,https://www.oyorooms.com/292292/
Cardiff,Premier Inn Cardiff City Centre (Queen Street) hotel,"Helmont House, 10 Churchill Way, Cardiff CF10 2HE, UK",0333 777 3981,https://www.premierinn.com/gb/en/hotels/wales/glamorgan/cardiff/cardiff-city-centre.html?cid=GLBC_CARBAR
Cardiff,Hilton Cardiff,"Kingsway, Greyfriars Rd, Cardiff CF10 3HH, UK",029 2064 6300,https://www.hilton.com/en/hotels/cwlhitw-hilton-cardiff/?SEO_id=GMB-EMEA-TW-CWLHITW
Cardiff,Angel Hotel Cardiff,"The Angel Hotel, Castle St, Cardiff CF10 1SZ, UK",029 2064 9200,https://www.angelhotelcardiffcity.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Cardiff,"Radisson Blu Hotel, Cardiff","Meridian Gate, Bute Terrace, Cardiff CF10 2FL, UK",029 2045 4777,https://www.radissonhotels.com/en-us/hotels/radisson-blu-cardiff?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:ukirwe+h:GBCWL1
Cardiff,The Parkgate Hotel,"Westgate St, Cardiff CF10 1DA, UK",029 2274 5595,https://www.theparkgatehotel.wales/
Cardiff,Cardiff Sandringham Hotel,"21 St Mary St, Cardiff CF10 1PL, UK",029 2023 2161,http://www.sandringham-hotel.com/
