Town,Name,Address,Phone,Website
Cardiff,The Coal Exchange Hotel,"Building Bay, The Exchange, Mount Stuart Square, Cardiff CF10 5FQ, UK",029 2199 1904,http://coalexchangecardiff.co.uk/
Cardiff,Hotel Indigo Cardiff by IHG,"Dominions Arcade, Queen St, Cardiff CF10 2AR, UK",0871 942 9104,https://www.ihg.com/hotelindigo/hotels/gb/en/cardiff/cdfin/hoteldetail?cm_mmc=GoogleMaps-_-IN-_-GB-_-CDFIN
Cardiff,Holland House Hotel Cardiff By Sunday,"24 26 Newport Rd, Cardiff CF24 0DD, UK",029 2043 5000,https://www.oyorooms.com/292292/
Cardiff,Angel Hotel Cardiff,"The Angel Hotel, Castle St, Cardiff CF10 1SZ, UK",029 2064 9200,https://www.angelhotelcardiffcity.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Cardiff,The Parkgate Hotel,"Westgate St, Cardiff CF10 1DA, UK",029 2274 5595,https://www.theparkgatehotel.wales/
Cardiff,Cardiff Sandringham Hotel,"21 St Mary St, Cardiff CF10 1PL, UK",029 2023 2161,http://www.sandringham-hotel.com/
Cardiff,Manor Parc Hotel,"Thornhill Rd, Cardiff, Thornhill CF14 9UA, UK",029 2069 3723,http://www.manorparc.com/
Cardiff,Lincoln House Hotel,"118-120 Cathedral Rd, Pontcanna, Cardiff CF11 9LQ, UK",029 2039 5558,http://lincolnhotel.co.uk/
Cardiff,Future Inn Cardiff Bay,"Hemingway Rd, Cardiff CF10 4AU, UK",029 2048 7111,https://www.futureinns.co.uk/cardiff/
Cardiff,easyHotel Cardiff City Centre,"1-3 Fitzalan Pl, Cardiff CF24 0ED, UK",029 2280 2180,https://www.easyhotel.com/hotels/united-kingdom/cardiff/cardiff-city-centre?utm_source=google&utm_medium=organic&utm_campaign=GMB-owned-cardiff-city-centre
Cardiff,Leonardo Hotel Cardiff,"1 Park Pl, Cardiff CF10 3DN, UK",0161 774 2983,https://www.leonardo-hotels.com/cardiff/leonardo-hotel-cardiff
Cardiff,Clayton Hotel Cardiff,"St Mary St, Cardiff CF10 1GD, UK",029 2066 8866,https://ad.doubleclick.net/ddm/trackclk/N1074062.3844254CLAYTONHOTELS-OR/B24186235.278861590;dc_trk_aid=472862582;dc_trk_cid=135199307;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;ltd=;dc_tdv=1
Cardiff,Parador 44,"14 Quay St., Cardiff CF10 1EA, UK",029 2002 0039,https://grupo44.co.uk/parador44/
Cardiff,Royal Hotel Cardiff by Belvilla,"88 St Mary St, Cardiff CF10 1DW, UK",020 4587 8555,https://www.oyorooms.com/361198/
Cardiff,Park Plaza Cardiff,"Greyfriars Rd, Cardiff CF10 3AL, UK",029 2011 1111,https://www.radissonhotels.com/en-us/hotels/park-plaza-cardiff
Cardiff,Four Points Flex by Sheraton Cardiff,"Station Approach, Saunders Rd, Cardiff CF10 1RH, UK",029 2047 8747,https://www.marriott.com/en-us/hotels/cwlsu-four-points-flex-cardiff/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
Cardiff,The Riverhouse,"59 Fitzhamon Embankment, Cardiff CF11 6AN, UK",029 2010 5590,https://www.icardiff.co.uk/riverhouse/
Cardiff,Tanes Hotel,"148 Newport Rd, Cardiff CF24 1DJ, UK",029 2049 3898,http://www.taneshotel.co.uk/
Cardiff,Elgano Guest House,"58 Cathedral Rd, Pontcanna, Cardiff CF11 9LL, UK",029 2034 4060,https://elgano.co.uk/guest-house/
Cardiff,ML Lodge,"108 St Mary St, Cardiff CF10 1DX, UK",029 2037 3510,http://www.mllodge.co.uk/
Cardiff,Pontcanna Inn (Hotel),"36 Cathedral Rd, Pontcanna, Cardiff CF11 9LL, UK",029 2023 2917,https://www.pontcannainn.com/rooms
Cardiff,The Spires Serviced Apartments Cardiff,"10 Cathedral Rd, Pontcanna, Cardiff CF11 9LJ, UK",0345 270 0090,https://www.thespires.co.uk/serviced-apartments-in-cardiff
Cardiff,Staybridge Suites Cardiff by IHG,"Longueil Cl, Cardiff CF10 4EE, UK",029 2233 8266,https://www.ihg.com/staybridge/hotels/gb/en/cardiff/cwlst/hoteldetail?cm_mmc=GoogleMaps-_-SB-_-GB-_-CWLST
Cardiff,Copthorne Hotel Cardiff-Caerdydd,"Copthorne Way, Culverhouse Cross, Cardiff CF5 6DH, UK",029 2059 9100,https://www.millenniumhotels.com/en/cardiff/copthorne-hotel-cardiff-caerdydd/?cid=gplaces-copthorne-hotel-cardiff
Cardiff,Cardiff Bute Terrace Hotel By Belvilla,"Bute Terrace, Cardiff CF10 2FE, UK",029 2168 0524,https://www.oyorooms.com/gb/356166/
Cardiff,Cardiff Riverside Hotel by Belvilla,"Clare St, Cardiff CF11 6BD, UK",029 2255 0214,https://www.oyorooms.com/gb/76580/
Cardiff,Central Studios,"7 Fitzhamon Embankment, Cardiff CF11 6AN, UK",029 2010 5590,https://www.icardiff.co.uk/central-studios
Cardiff,voco St. David's Cardiff by IHG,"Havannah St, Cardiff CF10 5SD, UK",029 2045 4045,https://www.ihg.com/voco/hotels/gb/en/cardiff/cwlcd/hoteldetail?cm_mmc=GoogleMaps-_-VX-_-GB-_-CWLCD
Cardiff,Maltsters Arms Hotel by Marston's Inns,"Cardiff Rd, Cardiff CF5 2DS, UK",029 2033 3096,http://www.marstonsinns.co.uk/inns/maltsters-arms-hotel-cardiff/?utm_source=gbp&utm_medium=Yext&y_source=1_MzM3MTM5NDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Cardiff,The Luxury Central Cardiff Signature Hotel By Belvilla,"24, 26 Newport Rd, Cardiff CF24 0DD, UK",029 2043 5000,
Cardiff,3 Luxury En-suite Bedrooms,"189 Cathedral Rd, Pontcanna, Cardiff CF11 9PN, UK",07949 600555,http://3-luxury-en-suite-bedrooms.org.es/
Cardiff,1 The Laurels,"1, The Laurels, Cardiff Rd, Cardiff CF5 6EB, UK",07889 591032,http://www.beechwoodonline.co.uk/
Cardiff,Ty Castell Guest House,"48 St. Martin's Rd, Caerphilly CF83 1EJ, UK",07980 943883,http://www.tycastellguesthouse.co.uk/
Cardiff,New House Country Hotel - Cardiff,"Thornhill Rd, Thornhill, Cardiff, Caerphilly CF14 9UA, UK",029 2052 0280,https://townandcountrycollective.co.uk/new-house-home/
Cardiff,Number One Hundred Bed And Breakfast,"100 Newport Rd, Cardiff CF24 1DG, UK",029 2010 5590,https://www.icardiff.co.uk/number-one-hundred/
Cardiff,Majestic Hotel Cardiff,"Meridian Gate, Bute Terrace, Cardiff CF10 2FL, UK",029 2045 4777,https://www.majestichotels.co.uk/
Cardiff,The Beacon Hotel Cardiff,"Caxton Pl, Cardiff CF23 8HA, UK",029 2120 0095,https://www.aghotels.co.uk/the-beacon-cardiff/
Cardiff,WiseStay,"45-47 Fitzhamon Embankment, Cardiff CF11 6AN, UK",029 2240 1888,http://www.wisestay.co.uk/
Cardiff,Crofts Hotel,"Crofts Hotel, Cardiff CF24 3DZ, UK",029 2048 6467,http://www.thecroftspub.co.uk/
Cardiff,Courtfield Hotel,"101 Cathedral Rd, Pontcanna, Cardiff CF11 9PH, UK",029 2022 7701,http://www.courtfieldhotel.com/
Swansea,Dragon Hotel,"39 The Kingsway, Swansea SA1 5LS, UK",01792 657100,http://www.dragon-hotel.co.uk/
Swansea,Morgans Hotel,"Somerset Pl, Swansea SA1 1RR, UK",01792 484848,http://www.morganshotel.co.uk/
Swansea,Delta Hotels Swansea,"Trawler Rd, Maritime Quarter, Swansea SA1 3SS, UK",01792 642020,https://www.marriott.com/en-us/hotels/cwlsd-delta-hotels-swansea/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
Swansea,The New Gower Hotel & Restaurant,"11 Church Ln, Bishopston, Swansea SA3 3JT, UK",01792 234111,http://www.thenewgowerhotel.wales/
Swansea,Dolphin SA1 Hotel,"Whitewalls, Oxford St, Swansea SA1 3AB, UK",01792 650011,http://www.dolphin-sa1.com/
Swansea,Towers Hotel & Spa,"Ashleigh Terrace, Skewen, Swansea SA10 6JL, UK",01792 814155,https://www.thetowersswanseabay.com/
Swansea,The Grand Hotel,"Ivey Pl, Swansea SA1 1NX, UK",01792 645898,https://www.thegrandhotelswansea.co.uk/
Swansea,The Georgian Swansea,"The Georgian, 2/3 S Prospect, Swansea SA1 1QP, UK",01792 484848,https://www.thegeorgianswansea.com/
Swansea,Hooopers Sandy Beach Guest Rooms,"296-298 Oystermouth Rd, Swansea SA1 3UJ, UK",07855 941717,http://hooopers-sandy-beach-guest-rooms.org.es/
Swansea,The Mirador,"Mirador Guest House, 14 Mirador Cres, Uplands, Swansea SA2 0QX, UK",07590 080880,
Swansea,Oyster House (Hotel),"137 Mumbles Rd, Mumbles, Swansea SA3 4DN, UK",01792 823159,https://www.oysterhousemumbles.com/rooms
Swansea,Cwtsh Hostel,"10-14 Castle St, Swansea SA1 1JF, UK",01792 986556,http://cwtsh-hostel.co.uk/
Swansea,A Space In The City - Meridian Tower,"Meridian Tower, Trawler Rd, Maritime Quarter, Swansea SA1 1JN, UK",0845 260 7050,http://www.aspaceinthecity.co.uk/
Swansea,The Oxwich Bay Hotel,"Bay Hotel, Oxwich, Swansea SA3 1LS, UK",01792 390329,https://oxwichbayhotel.co.uk/?utm_source=google&utm_medium=local&utm_campaign=oxwich-bay-hotel
Swansea,The Carlton Hotel Mumbles,"654-656 Mumbles Rd, Mumbles, Swansea SA3 4EA, UK",01792 360450,http://the-carlton-hotel-mumbles.org.es/
Swansea,Hurst Dene Guest House,"10 Sketty Rd, Uplands, Swansea SA2 0LJ, UK",01792 280920,http://www.hurstdene.co.uk/
Swansea,Queen's Hotel,"Gloucester Pl, Maritime Quarter, Swansea SA1 1TY, UK",01792 521531,https://m.facebook.com/QueensHotelSwanseaMarina/?locale2=en_GB
Swansea,Waterfront Apartments,"8, South Quay, Kings Rd, Swansea SA1 8AH, UK",01792 466976,
Swansea,Parc le Breos,"Parc Le Breos House, Penmaen, Swansea SA3 2HA, UK",01792 371636,http://www.parc-le-breos.co.uk/
Swansea,King Arthur Hotel,"Higher Green, Reynoldston, Gower SA3 1AD, UK",01792 390775,https://www.kingarthurhotel.co.uk/
Swansea,Ice House Apartments,"The Ice House, Kings Rd, Swansea SA1 8AW, UK",01792 649060,http://www.icehouseapartments.co.uk/
Swansea,Alexander Hotel,"3 Sketty Rd, Uplands, Swansea SA2 0EU, UK",01792 677046,
Swansea,Wynberg House Swansea Bed & Breakfast,"1 Eversley Rd, Sketty, Swansea SA2 9DB, UK",07415 189917,https://wynberg-house.hotels-wales.com/en/
Swansea,Tudor Court Hotel,"306 Oystermouth Rd, Swansea SA1 3UJ, UK",01792 650389,
Swansea,Dylan Thomas Birthplace,"5 Cwmdonkin Dr, Uplands, Swansea SA2 0RA, UK",01792 472555,http://dylanthomasbirthplace.com/
Swansea,Somerfield Lodge,"120 Owls Lodge Ln, Mayals, Swansea SA3 5DP, UK",01792 401989,http://www.clynegolfclub.com/
Swansea,Copper House,"150 Neath Road The Old Bridge, Plasmarl, Swansea SA1 2BD, UK",01792 737466,http://www.kginspiredproperty.com/?utm_source=GMB%20Listing&utm_medium=Organic
Swansea,Times Hotel,"W Glam, 384 Oystermouth Rd, Swansea SA1 3UL, UK",01792 653580,
Swansea,Emerald Living - Swansea City Centre,"42 Waun-Wen Rd, Swansea SA1 6FN, UK",020 8087 1201,http://www.emerald-living.co.uk/
Swansea,Bay Apartments Limited,"Marina, 29 Camona Dr, Maritime Quarter, Swansea SA1 1YJ, UK",01792 448433,http://www.bayapartments.co.uk/
Swansea,The Estuary Bar,"Belle Vue, Pen-clawdd, Swansea SA4 3YE, UK",01792 850777,http://www.theestuarygower.co.uk/
Swansea,Leonardo's Guest House,"380 Oystermouth Rd, Swansea SA1 3UL, UK",01792 470163,https://www.leonardosguesthouse.co.uk/
Swansea,Stop Looking! Swansea - KG Inspired Property,"59 Morris Ln, St Thomas, Swansea SA1 8BE, UK",01792 737466,http://www.kginspiredproperty.com/?utm_source=GMB%20Listing&utm_medium=Organic
Swansea,Scenic View,"169 Trawler Rd, Maritime Quarter, Swansea SA1 1XZ, UK",07468 617946,https://www.baystays.co.uk/
Swansea,Glanmor Garden Apartment,"113 Glanmor Rd, Sketty, Uplands, Swansea SA2 0RN, UK",01792 930881,http://www.glanmorgardenapartment.com/
Swansea,Sandcastle,"59A King Edward Rd, Swansea SA1 4LN, UK",07865 604554,
Swansea,Neon 160,"Glamorgan, 160 St Helen's Rd, Swansea SA1 4DQ, UK",07789 511535,https://marialovestotravel.com/neon-160-uk
Swansea,Oystercatcher Hotel,"Oystercatcher Hotel, 386 Oystermouth Rd, Swansea SA1 3UL, UK",01792 456574,
Swansea,Clyne Farm Centre,"Westport Ave, Mayals, Swansea SA3 5AR, UK",01792 403333,https://clynefarm.com/
Swansea,Mansel House,"Glamorgan, 65 Mansel St, Swansea SA1 5TN, UK",01792 677046,
Swansea,Sandpiper,"266 Oystermouth Rd, Swansea SA1 3UH, UK",01792 653859,
Swansea,Amazing Views - KG Inspired Property,"55 Watkin St, Swansea SA1 6YE, UK",01792 737466,http://www.kginspiredproperty.com/?utm_source=GMB%20Listing&utm_medium=Organic
Swansea,Princess Lofts,"6 Princess Way, Swansea SA1 3LW, UK",,
Swansea,The Place to Yourself - Swansea City,"7 Campbell St, Swansea SA1 6XY, UK",01792 737466,http://www.kginspiredproperty.com/?utm_source=GMB%20Listing&utm_medium=Organic
Swansea,Stay in the Heart of Swansea- TV in Every Bedroom!,"1 Hill St, Swansea SA1 6XU, UK",01792 737466,http://www.kginspiredproperty.com/?utm_source=GMB%20Listing&utm_medium=Organic
Swansea,Pleasant Hill - KG Inspired Property,"70 Watkin St, Swansea SA1 6YE, UK",01792 737466,http://www.kginspiredproperty.com/?utm_source=GMB%20Listing&utm_medium=Organic
Swansea,GLC Serviced Digs,"Gloucester Chambers, Gloucester Pl, Maritime Quarter, Swansea SA1 1TY, UK",07827 922787,
Swansea,Walking Distance to The Liberty - KG Inspired Property,"1203A Neath Rd, Plasmarl, Swansea SA6 8JT, UK",01792 737466,http://www.kginspiredproperty.com/?utm_source=GMB%20Listing&utm_medium=Organic
Swansea,Generous House - KG Inspired Management Ltd,"343 Neath Rd, Plasmarl, Swansea SA6 8JN, UK",01792 737466,http://www.kginspiredproperty.com/?utm_source=GMB%20Listing&utm_medium=Organic
Swansea,Quay House Hostel,"Strand, Swansea SA1 2AW, UK",,
Newport,The Celtic Manor Resort,"The Usk Valley, Coldra Wood, Chepstow Rd, Caerleon, Newport NP18 1HQ, UK",01633 413000,https://www.celtic-manor.com/
Newport,Belvilla Newport City Centre Hotel - Lifestyle,"55 High St, Newport NP20 1GA, UK",01633 494902,https://www.oyorooms.com/247631/
Newport,Tŷ Newport,"Chepstow Rd, Langstone, Newport NP18 2LX, UK",01633 413000,https://www.ty-hotels.com/destinations/newport/
Newport,The Priory,"High St, Caerleon, Newport NP18 1AG, UK",01633 421241,http://www.thepriorycaerleon.co.uk/
Newport,The Old Barn Inn,"Magor Rd, Llanmartin, Newport NP18 2EB, UK",01633 413382,http://www.theoldbarninn.com/
Newport,Coldra Court Hotel,"Chepstow Rd, Langstone, Newport NP18 2LX, UK",01633 413737,https://www.coldra-court.com/
