Email Address,SITE,PHONE,TOWN,SITECOUNT
%20bookings@riverwyehostel.co.uk,River Wye Hostel,01432 264807,Hay-on-Wye,1
%20hello@willowspringscampsite.co.uk,Willow Springs Campsite,01639 865485,Maesteg,1
%20info@gwestyseren.co.uk,Gwesty Seren Hotel,01766 513133,Blaenau Ffestiniog,1
%20info@oakwoodfarmchester.co.uk,Oakwood Farm Mews,01244 880828,Connah's Quay,1
%20jane.smith@domain.com,"Deanfield House, Moelfre and Hilltops Brecon Holiday Cottages",01248 660175,Brynteg,2
%20oaklandsglamping@gmail.com,Oaklands Glamping & Treehouse,07968 447045,Welshpool,1
%20reservations@brookhallhotel.co.uk,Brook Hall Hotel,0151 339 9350,Connah's Quay,1
%20theoldschoolcaeathro@gmail.com,The Old School,07900 991219,Caernarfon,1
abfabparty@aol.co.uk,Cherry Berry Lodges,07977 227881,Abergavenny,1
accessibility@bluestonewales.com,Bluestone Resort,01834 862400,Narberth,1
accounts@aberdunant.com,Aberdunant Hall,01766 512001,Blaenau Ffestiniog,1
accounts@plastirionfarm.uk,Plas Tirion,07545 995931,Holywell,1
accounts@tyddynisaf.co.uk,Tyddyn Isaf Caravan Park,01248 410203,Amlwch,1
admin@brecontownhouse.co.uk,Town House Brecon B&B - book direct for best rates,01874 610787,Brecon,1
admin@coastingpilothotel.co.uk,The Coasting Pilot Hotel,01554 833520,Llanelli,1
admin@newportquayhotel.co.uk,Newport Quay Hotel,01983 528544,Newport,1
admin@pentrecerrigcountryhouse.co.uk,Pentre Cerrig Country House,01352 810607,Wrexham,1
admin@snowdonguesthouse.co.uk,Snowdon House single rooms for Solo travellers,,Rhyl,1
admin@thegrange-brecon.co.uk,Grange Guest House (Bed & Breakfast),01874 624038,Brecon,1
advantageclub@leonardo-hotels.com,Leonardo Hotel Cardiff and Leonardo Hotel Chester,0161 774 2983,Cardiff,2
alan@penrhiwfarm.co.uk,Penrhiw Farm B&B,07875 219746,Fishguard,1
albion@coldatnight.co.uk,Albion Aberteifi,01239 615513,Cardigan,1
amanda.pryce@gregynog.org,Gregynog Hall,01686 650224,Newtown,1
amanda@thellinegarrooms.co.uk,The Llinegar Rooms,07990 504449,Bagillt,1
amkryukov@gmail.com,Glyn Isa 17th Century Country House B&B and Self Catering Lodge,01492 650880,Conwy,1
andrea@tomsoftregaron.com,Tom's of Tregaron,01974 299445,Lampeter,1
andrewcwmwdig@aol.com,Cwmwdig Cwtch,01348 831434,St Davids,1
andy4367@yahoo.co.uk,Bull Hotel,01407 728962,Holyhead,1
andyb@puffincottageholidays.co.uk,Ser Mor Holiday Cottage,07989 553750,Saundersfoot,1
angelhotel@southcoastinns.co.uk,The Angel Hotel,01594 835638,Monmouth,1
angelisholistic@btinternet.com,Llanwrtyd Hall - Angelis Holistic Retreat and B & B,01591 610888,Tregaron,1
anglesey.arms@jwlees.co.uk,Anglesey Arms,01248 712305,Bangor,1
angleseyarms.caernarfon@phoenixpub.co.uk,Anglesey Arms,01286 672158,Caernarfon,1
angleseyclicktobook@gmail.com,Harbour watch,07353 226217,Holyhead,1
anna@cardiganholidays.co.uk,Brongwyn Cottages,07968 227826,Cardigan,1
arthurs@meadowsprings.co.uk,Meadow Springs Country and Leisure Park - Mid Wales,01686 430654,Llanidloes,1
ashdaleguesthouse@gmail.com,Ashdale Guest House,01492 872483,Conwy,1
awel.mor@gmail.com,Awel Môr B&B,01766 522086,Porthmadog,1
barleymow7@gmail.com,The Barley Mow,01446 311604,Llanharan and Brynna,1
baytreecottage@sky.com,The Potting Shed and Baytree Bed & Breakfast,07800 583046,Carmarthen,2
bcholidaycottages@gmail.com,Blaen Cedi Holiday Cottages,07368 577232,Llanelli,1
beauty.mollington@brook-hotels.co.uk,Mollington Banastre Hotel & Spa - Chester,01244 851471,Connah's Quay,1
becky@squirefarm.co.uk,Squire Farm Holiday Cottages,01547 530530,Knighton,1
beechwoodcourt@cehc.org.uk,Beechwood Court,01492 593405,Conwy,1
bigcottages@gmail.com,Smugglers Cove Boatyard,,Tywyn,1
bikeparklodge@gmail.com,Bike Park Lodge,07827 961996,Merthyr Tydfil,1
bkhaneka@hotmail.com,Torlands,01600 714654,Monmouth,1
blacklionbont@gmail.com,Black Lion Hotel,07878 381937,Tregaron,1
blas.fronlas@gmail.com,Blas at Fronlas,01239 820065,Goodwick,1
blossomfarmstays@gmail.com,Blossom Farm Stays,07899 910568,Milford Haven,1
blueberrybookings@yahoo.co.uk,Blueberry Hotel,01443 485331,Caerphilly,1
boat.house@jwlees.co.uk,The Boathouse & Riverside Rooms,01244 328709,Broughton,1
book@staytysa.co.uk,"Beechwood House, by Tŷ SA",029 2169 0309,Risca,1
bookaroom@heywoodspahotel.co.uk,Heywood Spa Hotel,01834 842087,Tenby,1
bookdirect@thetownhousetenby.co.uk,The Townhouse,07527 004661,Tenby,1
booking@hilstonpark.com,Hilston Park - County Manor - Private Bookings - Outdoor Activity Centre,01600 240033,Monmouth,1
booking@maryhouseporthcawl.co.uk,Mary House,01656 222314,Porthcawl,1
booking@progressionstudios.com,Holyland House - Greenacres Estates,07434 852292,Pembroke Dock,1
booking@queensheadhotel.co.uk,Queens Head Hotel,01686 413409,Newtown,1
booking@sandbeach.co.uk,Sand Beach Hotel,01745 346432,Rhyl,1
booking@whitehouserhuallt.co.uk,White House Restaurant & Hotel,01745 530000,Denbigh,1
bookings@brynarth.co.uk,Brynarth Country Cottages,01974 261367,Tregaron,1
bookings@brynderwenbedandbreakfast.co.uk,Bryn Derwen,01597 810495,Llandrindod Wells,1
bookings@conwyholidaypark.co.uk,Conwy Holiday Park,01492 592856,Colwyn Bay,1
bookings@courthouse.org.uk,Court House,07952 201813,St Davids,1
bookings@dragonhotel-snowdonia.co.uk,The Dragon B&B,01690 710334,Llanrwst,1
bookings@ferryboatinn.co.uk,The Ferryboat B&B,01348 874747,Fishguard,1
bookings@flambardshotel.co.uk,Flambards Hotel,01239 682871,Cardigan,1
bookings@glangwilimansion.co.uk,Glangwili Mansion Luxury Bed & Breakfast,07800 843151,Llanelli,1
bookings@havelihotel.co.uk,Haveli Hotel,01443 235685,Pontypridd,1
bookings@littlebittyfarm.co.uk,The Little Bitty Farm & Campsite,07917 701136,Hawarden,1
bookings@newgalelodge.com,Newgale Lodge,01437 720959,Haverfordwest,1
bookings@pantteg.co.uk,Pant Teg B & B,01248 602248,Bangor,1
bookings@penrhosarms.co.uk,Penrhos Arms Hotel,01650 511243,Machynlleth,1
bookings@plascottages.co.uk,Plas Llechylched Retreat,01407 501206,Llangefni,1
