Town,Name,Address,Phone,Website,Email,Found on page
Cardiff,Bonnie Rogues Cardiff,"42-43 St Mary St, Cardiff CF10 1AD, UK",029 2150 9001,https://bonnierogues.co.uk/cardiff/?utm_source=Google+Business&utm_medium=Google+Search&utm_campaign=GMB+Optimisation,bristol@bonnierogues.co.uk,https://bonnierogues.co.uk/contact
Cardiff,The Head of Steam Cardiff,"18-19 Church St, Cardiff CF10 1BG, UK",029 2037 2582,https://www.theheadofsteam.co.uk/bars/cardiff,,
Cardiff,Queens Vaults - JW Bassett Pub,"29 Westgate St, Cardiff CF10 1EH, UK",029 2022 7966,https://www.jwbpubs.com/pubs/queens-vaults,,
Cardiff,The Owain Glyndwr,"10 St John St, Cardiff CF10 1GL, UK",029 2022 1980,https://www.greatlocalpubs.co.uk/owain-glyndwr-cardiff?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,,
Cardiff,Coyote Ugly Saloon Cardiff,"78 St Mary St, Cardiff CF10 1FA, UK",029 2022 1510,http://www.coyoteuglysaloonuk.com/cardiff,,
Cardiff,City Arms,"Quay St., Cardiff CF10 1EA, UK",029 2064 1913,https://www.cityarmscardiff.co.uk/?y_source=1_MjgwNDU0NDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,CityArms.Cardiff@phoenixpub.co.uk,https://www.cityarmscardiff.co.uk
Cardiff,Cambrian Tap,"51 St Mary St, Cardiff CF10 1AD, UK",029 2064 4952,https://www.cambriantapcardiff.co.uk/?y_source=1_MjgwNDU0NDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,CambrianTap.Cardiff@phoenixpub.co.uk,https://www.cambriantapcardiff.co.uk
Cardiff,The Dead Canary,"Barrack Ln, St Davids Centre, Cardiff CF10 2FR, UK",07874 928366,http://www.thedeadcanary.co.uk/,,
Cardiff,Boom Battle Bar Cardiff,"The Old Brewery Quarter, ROYAL ARCADE, Cardiff CF10 1FG, UK",029 2280 1555,https://boombattlebar.com/uk/cardiff/?utm_source=GMB&utm_medium=search&utm_campaign=GMB,,
Cardiff,The Botanist Cardiff,"10, 5 Church St, Cardiff CF10 1BG, UK",029 2013 0053,http://www.thebotanist.uk.com/locations/cardiff,bookings@thebotanist.uk.com,http://www.thebotanist.uk.com/contact
Cardiff,Old Arcade,"Church St, Cardiff CF10 1BG, UK",029 2021 7999,https://www.oldarcadecardiff.co.uk/?utm_source=gbp&utm_medium=Yext&y_source=1_MjgwNDU0OTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,OldArcade.Cardiff@marstons.co.uk,https://www.oldarcadecardiff.co.uk
Cardiff,Porter's Cardiff,"9 Porter's, Barrack Ln, St Davids Centre, Cardiff CF10 2GS, UK",,https://porterscardiff.org/,user@domain.com,https://porterscardiff.org
Cardiff,Flight Club Cardiff,"3-4 St Mary St, Cardiff CF10 1AT, UK",,https://flightclubdarts.com/uk/cardiff/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business&utm_content=venue-page,events@flightclubdarts.com,https://flightclubdarts.com
Cardiff,O'Neill's St Mary Street,"85-87 St Mary St, Cardiff CF10 1DW, UK",029 2066 4103,https://www.oneills.co.uk/national-search/wales/st-mary-street-in-cardiff?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
Cardiff,The Prince of Wales,"81–83 St Mary St, Cardiff CF10 1FA, UK",029 2064 4449,https://www.jdwetherspoon.com/pubs/the-prince-of-wales-cardiff/,,
Cardiff,Ty Mawr,"Graig Rd, Cardiff CF14 0UF, UK",029 2075 4456,https://www.tymawrpubcardiff.co.uk/?utm_source=gbp&utm_medium=Yext&y_source=1_MzA1NjQ5NzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,TyMawr.Cardiff@marstons.co.uk,https://www.tymawrpubcardiff.co.uk
Cardiff,Brewhouse,"49 St Mary St, Cardiff CF10 1AD, UK",029 2039 9913,http://www.brewhousecardiff.com/,info@brewhousecardiff.com,http://www.brewhousecardiff.com
Cardiff,The Bootlegger,"5A Womanby St, Cardiff CF10 1BR, UK",0303 003 3213,http://www.bootleggerbars.com/,,
Cardiff,The Mount Stuart,"Landsea House, Stuart Pl, Cardiff CF10 5BU, UK",029 2044 8000,https://www.jdwetherspoon.com/pubs/all-pubs/wales/cardiff/the-mount-stuart-cardiff,,
Cardiff,Blue Bell,"33 High St, Cardiff CF10 1PU, UK",029 2151 0043,http://www.bluebellcardiff.co.uk/,info@bluebellcardiff.co.uk,http://www.bluebellcardiff.co.uk
Cardiff,The Live Lounge Cardiff,"9 The Friary, Cardiff CF10 3FA, UK",029 2132 8159,http://www.thelivelounge.com/,,
Cardiff,The Grange Pub,"134 Penarth Rd, Cardiff CF11 6NJ, UK",029 2025 0669,http://www.instagram.com/thegrangepub,,
Cardiff,Plough,"1 Merthyr Rd, Cardiff CF14 1DA, UK",029 2062 3017,https://www.ploughpubcardiff.co.uk/?utm_source=gbp&utm_medium=Yext&y_source=1_MjgwNDU1MDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Plough.Whitchurch@marstons.co.uk,https://www.ploughpubcardiff.co.uk
Cardiff,The Philharmonic,"76-77 St Mary St, Cardiff CF10 1FA, UK",029 2267 2216,http://thephilharmoniccardiff.co.uk/,info@thephilharmoniccardiff.co.uk,http://thephilharmoniccardiff.co.uk
Cardiff,The Packet,"95 Bute St, Cardiff CF10 5AB, UK",,http://www.packetcardiff.co.uk/,Packet.Cardiff@phoenixpub.co.uk,http://www.packetcardiff.co.uk
Cardiff,Tiny Rebel Cardiff,"25 Westgate St, Cardiff CF10 1DD, UK",07377 414204,http://www.tinyrebel.co.uk/bars/cardiff/,,
Cardiff,Cosy Club,"Unit 24, Unit 7a, Mermaid Quay, Cardiff CF10 5BZ, UK",029 2050 9008,https://cosyclub.co.uk/location/cardiff-bay/,StratfordBookings@cosyclub.co.uk,https://cosyclub.co.uk
Cardiff,The Dock,"Unit 1 & U1, Mermaid Quay, Cardiff CF10 5BZ, UK",029 2045 0947,https://thedockcdf.co.uk/,info@TheDockCDF.co.uk,https://thedockcdf.co.uk
Cardiff,The Borough Arms,"8 St Mary St, Cardiff CF10 1AT, UK",029 2022 1343,https://m.facebook.com/borougharmscardiff/,,
Cardiff,Glassworks,"4 Wharton St, Cardiff CF10 1AG, UK",029 2022 2114,https://www.greeneking.co.uk/pubs/south-glamorgan/glassworks?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,,
Cardiff,The Woodville,"1-5 Woodville Rd, Cardiff CF24 4DW, UK",029 2039 7859,http://www.socialpubandkitchen.co.uk/woodville-cardiff?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,,
Cardiff,Duke Of Wellington,"The Hayes, Cardiff CF10 1AJ, UK",029 2033 7190,https://www.dukeofwellingtoncardiff.co.uk/?utm_source=gbp&utm_medium=Yext&y_source=1_MjgwNDU0NjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,DukeOfWellington.Cardiff@marstons.co.uk,https://www.dukeofwellingtoncardiff.co.uk
Cardiff,The Conway,"Conway Hotel, 58 Conway Rd, Pontcanna, Cardiff CF11 9NW, UK",029 2063 8152,http://www.conwayhotel.co.uk/,conwayhotelcardiff@gmail.com,http://www.conwayhotel.co.uk
Cardiff,Walkabout - Cardiff,"65-74 St Mary St, Cardiff CF10 1FA, UK",029 2072 7930,https://www.walkaboutbars.co.uk/cardiff?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,,
Cardiff,Cedar Tree Farm - Farmhouse Inns,"Ferry Rd, Cardiff CF11 0JR, UK",029 2034 1823,https://www.farmhouseinns.co.uk/pubs/south-glamorgan/cedar-tree-farm?utm_source=g_places&utm_medium=locations&utm_campaign=FHI_pubpage,,
Cardiff,Cosy Club,"St David's Dewi Sant, 1 Hills St, St Davids Centre, Cardiff CF10 2LE, UK",029 2022 5998,https://cosyclub.co.uk/location/cardiff,StratfordBookings@cosyclub.co.uk,https://cosyclub.co.uk
Cardiff,Temple Bar Cardiff,"Temple Bar, 6 High St, Cardiff CF10 1FA, UK",029 2037 7469,http://www.templebarcardiff.com/,info@templebarcardiff.com,http://www.templebarcardiff.com
Cardiff,The Dock Feeder,"18 Churchill Way, Cardiff CF10 2DY, UK",,http://www.thedockfeeder.com/,unityvenues@gmail.com,http://www.thedockfeeder.com/contact
Cardiff,Peppermint Bar & Kitchen,"63 St Mary St, Cardiff CF10 1FE, UK",029 2039 9199,http://www.peppermintbar.co.uk/cardiff,,
Cardiff,Lab 22,"22 Caroline St, Cardiff CF10 1FG, UK",029 2039 9997,http://www.lab22cardiff.com/,info@lab22cardiff.com,http://www.lab22cardiff.com/contact
Cardiff,Brewhouse & Kitchen - Cardiff,"Sophia Cl, Pontcanna, Cardiff CF11 9HW, UK",029 2037 1599,http://www.brewhouseandkitchen.com/venue/cardiff,,
Cardiff,Ffynnon Wen,"Thornhill Rd, Cardiff CF14 9UA, UK",029 2052 2535,http://www.ffynnonwenpub.co.uk/?utm_source=gbp&utm_medium=Yext&y_source=1_MTIyOTQ4NDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,ffynnonwen.cardiff@marstons.co.uk,http://www.ffynnonwenpub.co.uk
