Email Address,SITE,PHONE,TOWN,SITECOUNT
159177-450-auto_250x250@2x.webp,The Furniture Revival,01685 846830,Rhymney,1
1891@dll.co.uk,"1891 Restaurant and Bar, Rhyl",01824 774893,Rhyl,1
aberdaregolfclub@hotmail.co.uk,Aberdare Golf Club,01685 871188,Aberdare,1
abergavenny@thegaffrestaurant.co.uk,The Gaff Abergavenny,01873 739310,Abergavenny,1
accounts@joulesbrewery.co.uk,The Royal Oak,01978 358547,Wrexham,1
admin@boderw.co.uk,Bod Erw Dining Ltd,01745 584638,Rhuddlan,1
admin@brynymorcaravanpark.co.uk,Bryn Y Môr Caravan Park,01654 710232,Tywyn,1
admin@coastingpilothotel.co.uk,The Coasting Pilot Hotel,01554 833520,Llanelli,1
admin@colliersfarm.uk,Colliers Adventure Farm,01443 711772,Trelewis,1
admin@thelostarc.co.uk,The Lost ARC,01597 811226,Rhayader,1
afanalesandfinewines@gmail.com,Afan Ales & Fine Wines,01639 415411,Port Talbot,1
albert.vaults.holyhead@phoenixpub.co.uk,Albert Vaults,,Holyhead,1
albion.inn.bangor@phoenixpub.co.uk,Albion Inn,01248 208556,Bangor,1
albion.penarth@phoenixpub.co.uk,The Albion,029 2009 0515,Penarth,1
albion@coldatnight.co.uk,The Castle Inn,,Cardigan,1
ale@harbwr.wales,Harbwr Tenby Harbour Brewery,01834 845797,Tenby,1
aliceevans@llandudnopier.com,Oceans Bar,01492 876258,Llandudno,1
alyn.wrexham@phoenixpub.co.uk,Alyn At Rossett,01244 748872,Llay,1
amanda.pryce@gregynog.org,Gregynog Hall,01686 650224,Newtown,1
amoreaberdare@gmail.com,Amore Italian Restaurant,01685 673982,Aberdare,1
amparo@thelounges.co.uk,Drago Lounge and 15 other pubs,01633 267717,Newport,16
andrealsholl@gmail.com,Number 49,01291 671151,Usk,1
angelinn@btinternet.com,The Angel Inn,01639 722013,Neath,1
anglesey.arms@jwlees.co.uk,Anglesey Arms,01248 712305,Bangor,1
angleseyarms.caernarfon@phoenixpub.co.uk,Anglesey Arms,01286 672158,Caernarfon,1
appstore@2x.png,Ellie's Cafe,01633 485590,Cwmbran,1
arattyman@gmail.com,Tafarn Y Fic,01248 671738,Y Felinheli,1
artboard-2@2x.png,The Ship Inn Caerleon,01633 420087,Newport,1
arthurs@meadowsprings.co.uk,Arthurs Restaurant,01686 430652,Aston,1
ashleys.theforge@gmail.com,The Unicorn,01495 751304,Pontypool,1
aubreyarms.bonvilston@marstons.co.uk,Aubrey Arms,01446 781210,Cowbridge,1
barleymow7@gmail.com,The Barley Mow,01446 311604,Cowbridge,1
barmouth@dylansrestaurant.co.uk,Dylan's Menai Bridge and Dylan's Llandudno,01248 716714,Bangor,2
basingstoke@iguanas.co.uk,Las Iguanas - Newport,01633 746706,Newport,1
battistinajones@btinternet.com,The Globe Inn,01792 898483,Loughor,1
beachcomberbenllech@btinternet.com,Beachcomber Bar & Grill,01248 851128,Benllech,1
bedwelltyhouse@aneurinleisure.org.uk,Bedwellty House and Park,01495 369690,Tredegar,1
bellaciaoporttalbot@gmail.com,Bella Ciao Port Talbot,01639 887390,Port Talbot,1
