Town,Name,Address,Phone,Website
Barry,Barry Island Brewers Fayre,"Triangle Site, Ffordd Y Mileniwm, Barry CF62 5QN, UK",01446 724971,https://www.brewersfayre.co.uk/en-gb/locations/vale-of-glamorgan/barry-island?cid=GLBC_40535520
Barry,Toby Carvery Rhoose,"Port Rd W, Barry CF62 3BA, UK",01446 700075,https://www.tobycarvery.co.uk/restaurants/wales/rhoosebarry?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
Bridgend,Toby Carvery Bridgend,"South Rd, Bridgend CF31 3UL, UK",01656 750011,https://www.tobycarvery.co.uk/restaurants/wales/bridgendmidglamorgan?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
Wrexham,Wynnstay Arms Hotel by Marston's Inns,"Yorke St, Wrexham LL13 8LP, UK",01978 291010,https://www.marstonsinns.co.uk/inns/wynnstay-arms-hotel-wrexham?utm_source=gbp&utm_medium=Yext&y_source=1_MTIyOTQ0ODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Llanelli,The Sandpiper Brewers Fayre,"Sandpiper Rd, Llanelli SA15 4SG, UK",01554 749347,https://www.brewersfayre.co.uk/en-gb/locations/carmarthenshire/the-sandpiper?cid=GLBC_41516925
Llanelli,Sessile Oak by Marston's Inns,"Pemberton Park, Llanelli SA14 9WA, UK",01554 752784,https://www.marstonsinns.co.uk/inns/sessile-oak-hotel-llanell/?utm_source=gbp&utm_medium=Yext&y_source=1_OTMyODgyMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Neath,Harvester Llandarcy Neath,"Unit 19, M4, Llandarcy, Skewen, Neath SA10 6GZ, UK",01792 321384,https://www.harvester.co.uk/restaurants/wales/harvesterllandarcyneath?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
Aberdare,Tirfounder Fields Brewers Fayre,"Riverside Retail Park, Tir Founder Flds, Aberdare CF44 0AH, UK",01685 876511,https://www.brewersfayre.co.uk/en-gb/locations/rhondda-cynon-taff/tirfounder-fields?cid=GLBC_41510185
Caerphilly,Crossways Brewers Fayre,"Crossways Business Park, Pontypandy, Caerphilly CF83 3NL, UK",029 2088 8850,https://www.brewersfayre.co.uk/en-gb/locations/caerphilly/crossways?cid=GLBC_41512160
Caerphilly,Toby Carvery Caerphilly,"Corbetts Lane, Pwllypant, Llanbradach, Caerphilly CF83 3HX, UK",029 2086 7049,https://www.tobycarvery.co.uk/restaurants/wales/caerphillyglamorgan?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
Port Talbot,Bagle Brook Beefeater,"Pentwyn Baglan Rd, Baglan, Port Talbot SA12 8ES, UK",01639 813017,https://www.beefeater.co.uk/en-gb/locations/port-talbot/bagle-brook?cid=GLBC_40010500
Colwyn Bay,Afon Conwy Brewers Fayre,"Glan Conwy Corner, Colwyn Bay LL28 5LB, UK",01492 572082,https://www.brewersfayre.co.uk/en-gb/locations/conwy/afon-conwy?cid=GLBC_41510225
Pontypool,Harvester Pontypool,"Ty Felin Fawr, Gwent, Lower Mill Field, Pontypool NP4 0RH, UK",01495 751551,https://www.harvester.co.uk/restaurants/wales/harvesterpontypooltorfaen?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
Ebbw Vale,Victoria Park Brewers Fayre,"Victoria Business Park, Waun-Lwyd, Ebbw Vale NP23 8AN, UK",01495 307185,https://www.brewersfayre.co.uk/en-gb/locations/gwent/victoria-park?cid=GLBC_41512530
Carmarthen,Harvester St Catherines Walk,"Dyfed, Unit 6 St Catherine's Walk, Carmarthen SA31 1GA, UK",01267 238901,https://www.harvester.co.uk/restaurants/wales/harvesterstcatherineswalkcarmarthen?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
