Town,Name,Address,Phone,Website,Email,Found on page
Cardiff,The Botanist Cardiff,"10, 5 Church St, Cardiff CF10 1BG, UK",029 2013 0053,http://www.thebotanist.uk.com/locations/cardiff,bookings@thebotanist.uk.com,http://www.thebotanist.uk.com/contact
Cardiff,The Cardiff Townhouse,"18 The Hayes, St Davids Centre, Cardiff CF10 1AH, UK",029 2002 7685,https://www.coppaclub.co.uk/the-cardiff-townhouse?utm_source=Organic+Search&utm_medium=Local&utm_campaign=GB_Cardiff&utm_content=listing,cardiff@coppaclub.co.uk,https://www.coppaclub.co.uk
Cardiff,Parallel by Pasture,"11 High St, Cardiff CF10 1AW, UK",07742 885440,https://parallelrestaurant.com/,parallel@pasturerestaurant.com,https://parallelrestaurant.com
Cardiff,The Ivy Asia Cardiff,"45 The Hayes, St Davids Centre, Cardiff CF10 1GA, UK",029 2280 6280,https://theivyasia.com/asian-food-near-me/asian-restaurants-wales/the-ivy-asia-cardiff/,,
Cardiff,The Welsh House Cardiff Restaurant & Bar,"5A High St, Cardiff CF10 1AW, UK",029 2280 6067,https://thewelsh-house.co.uk/,,
Cardiff,Pasture Restaurant Cardiff,"8-10 High St, Cardiff CF10 1AW, UK",07511 217422,http://www.pasturerestaurant.com/,,
Cardiff,Neighbourhood Kitchen & Cocktails,"80 Tudor St, Cardiff CF11 6AL, UK",07871 316018,https://neighbourhoodkitchen.co.uk/,,
Cardiff,Neighbourhood Kitchen & Cocktails,"80 Tudor St, Cardiff CF11 6AL, UK",07871 316018,https://neighbourhoodkitchen.co.uk/,,
Cardiff,Six by Nico Cardiff,"27 High St, Cardiff CF10 1PU, UK",029 2002 6666,https://www.sixbynico.co.uk/cardiff/the-chippie/,,
Cardiff,The Potted Pig,"27 High St, Cardiff CF10 1PU, UK",029 2022 4817,http://www.thepottedpig.com/,info@thepottedpig.com,http://www.thepottedpig.com
Cardiff,Cosy Club,"St David's Dewi Sant, 1 Hills St, St Davids Centre, Cardiff CF10 2LE, UK",029 2022 5998,https://cosyclub.co.uk/location/cardiff,StratfordBookings@cosyclub.co.uk,https://cosyclub.co.uk
Cardiff,A Pin of Salt,"12 City Rd, Cardiff CF24 3DL, UK",029 2048 6580,https://apinofsalt.co.uk/,,
Cardiff,The Botanist Cardiff Bay,"6 Mermaid Quay Unit 4, Cardiff CF10 5BZ, UK",029 2270 0075,https://thebotanist.uk.com/locations/cardiff-bay,bookings@thebotanist.uk.com,https://thebotanist.uk.com/contact
Cardiff,Gaucho Cardiff,"David's Dewi Sant, 19 The Hayes, St Davids Centre, Cardiff CF10 2EL, UK",029 2059 6979,https://gauchorestaurants.com/restaurants/cardiff/,enquiries@gauchorestaurants.com,https://gauchorestaurants.com
Cardiff,Banana Tree Cardiff,"16 Mill Ln, Cardiff CF10 1FL, UK",029 2010 0778,https://bananatree.co.uk/restaurants/cardiff/?utm_campaign=google_lpm_bananatree_cardiff,bath@bananatree.co.uk,https://bananatree.co.uk
