Email Address,SITE,PHONE,TOWN,SITECOUNT
%20enquiries@silverbirchgolfclub.co.uk,Urbane Bistro,01492 680690,Abergele,1
%20enquiry@gulshanrestaurantandbar.co.uk,Gulshan Restaurant And Bar,01244 450944,Connah's Quay,1
%20info@slyder.co.uk,Slyder Bridgend,01656 857337,Bridgend,1
003e713d-3b32-44e9-8398-881790bc276c_2_480x480@2x.jpg,Wright's Food Emporium,01558 668929,Carmarthen,1
1891@dll.co.uk,"1891 Restaurant and Bar, Rhyl",01824 774893,Rhyl,1
_@astro.bt--g9kh.css,Snac Hapus,07971 842388,Bangor,1
abdulkalam-1973@hotmail.com,Elachi Express,01639 892892,Port Talbot,1
abdulrob936@gmail.com,Bangla,028 9127 1272,Bangor,1
aber-map@2x.png,The Food Hall,01970 621961,Aberystwyth,1
aberdaregolfclub@hotmail.co.uk,Aberdare Golf Club,01685 871188,Aberdare,1
aberdeenunionsquare@frankieandbennys.co.uk,Frankie & Benny's,01685 729890,Merthyr Tydfil,3
abergavenny@pughsgardenkitchen.co.uk,Pugh's Garden Kitchen Newport,01633 831105,Risca,1
abergavenny@thegaffrestaurant.co.uk,The Gaff Abergavenny,01873 739310,Abergavenny,1
aberystwyth@ultracomida.co.uk,Ultracomida,01970 630686,Aberystwyth,2
about-us@0.5x.png,Caldicot Castle,01291 420241,Caldicot,1
accessibility@bluestonewales.com,Camp Smokey and Oak Tree,,Nantyglo,2
accounts@aberdunant.com,Aberdunant Hall,01766 512001,Porthmadog,1
adelinasbarandkitchen@gmail.com,Adelinas bar and kitchen,01792 475444,Swansea,1
admin@artshopandchapel.co.uk,The Art Shop & Chapel,01873 736430,Abergavenny,1
admin@boderw.co.uk,Bod Erw Dining Ltd,01745 584638,Rhyl,1
admin@cleverlifestyleltd.com,Clever Kitchen,01244 959673,Connah's Quay,1
admin@coastingpilothotel.co.uk,The Coasting Pilot Hotel,01554 833520,Burry Port,1
admin@colliersfarm.uk,Colliers Adventure Farm,01443 711772,Treharris,1
admin@ginsangria.co.uk,Gin and Sangria,01656 511538,Bridgend,1
admin@rangrasoii.com,Rang Rasoii Authentic Indian Restaurant,07777 760756,Wrexham,1
admin@thelostarc.co.uk,The Lost ARC,01597 811226,Llandrindod Wells,1
admin@theseacroft.pub,"Seacroft, Trearddur Bay",01407 860348,Holyhead,1
afternoontea002_480x480@2x.jpg,Medina,01970 358300,Aberystwyth,1
albion.inn.bangor@phoenixpub.co.uk,Albion Inn,01248 208556,Bangor,1
alexanderscoffee@hotmail.co.uk,Alexander's Cafe & Pizza House,07912 159802,Mold,1
allportsfishchipsporthmadog.shop@gmail.com,Allports Fish & Chips Porthmadog,01766 512589,Porthmadog,1
alyn.wrexham@phoenixpub.co.uk,Alyn At Rossett,01244 748872,Llay,1
amkryukov@gmail.com,Freckled Angel,01248 209952,Bangor,1
amoreaberdare@gmail.com,Amore Italian Restaurant,01685 673982,Merthyr Tydfil,1
amparo@thelounges.co.uk,Drago Lounge and 19 other restaurants,01633 267717,Newport,20
anchormarina@hotmail.com,THE ANCHOR SWANSEA MARINA,01792 683195,Swansea,1
andrea@tomsoftregaron.com,Tom's of Tregaron,01974 299445,Tregaron,1
andrealsholl@gmail.com,Number 49,01291 671151,Usk,1
angelinn@btinternet.com,The Angel Inn,01639 722013,Neath,1
anglesey.arms@jwlees.co.uk,Anglesey Arms,01248 712305,Llangefni,1
angleseyarms.caernarfon@phoenixpub.co.uk,Anglesey Arms,01286 672158,Caernarfon,1
antiques@afonwen.co.uk,Edenshine Restaurant,01352 720797,Flint,1
appstore@2x.png,Ellie's Cafe and 3 other restaurants,01633 485590,Cwmbran,4
artboard-2@2x.png,The Ship Inn Caerleon,01633 420087,Caerleon,1
arthurs@meadowsprings.co.uk,Arthurs Restaurant and Meadow Springs Country and Leisure Park - Mid Wales,01686 430652,Sarn,2
ashleys.theforge@gmail.com,The Unicorn,01495 751304,Pontypool,1
askwafflebox@gmail.com,Waffle Box,01352 753177,Mold,1
astigma@astigmatic.com,The Golden Orchid,01874 441234,Brecon,1
aubreyarms.bonvilston@marstons.co.uk,Aubrey Arms,01446 781210,Rhoose,1
