Town,Name,Address,Phone,Website
Newport,Pepe's,"105-106 Commercial St, Newport NP20 1LU, UK",01633 847307,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/newport/105-106-commercial-street/4609452
Barry,Pepe's,"46-48 Holton Rd, Barry CF63 4HD, UK",01446 502050,https://pepes.co.uk/pepes-piri-piri-stores/#!
Cwmbran,The Bush Inn,"Graig Rd, Upper Cwmbran, Cwmbran NP44 5AN, UK",01633 483764,http://www.thebushuppercwmbran.co.uk/
Cwmbran,Pepe's,"4 Glyndwr Rd, Cwmbran NP44 1QS, UK",01633 484923,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/cwmbran/4-glyndwr-road/4609406
Wrexham,Pepe's,"Regent House, Regent St, Wrexham LL11 1PR, UK",01978 541400,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/wrexham/regent-street/4609451
Wrexham,The Royal Oak,"111 High St, Wrexham LL13 8HY, UK",01978 358547,http://www.joulesbrewery.co.uk/
Merthyr Tydfil,Casa Bianca,"119 High St, Merthyr Tydfil CF47 8BL, UK",01685 380060,https://casabianca.co.uk/
Aberdare,The Bush Inn,"43 Commercial St, Aberdare CF44 7RW, UK",07796 386281,
Aberdare,McDonald's,"Aberdare CF44 8DL, UK",,
Aberdare,The New Inn,"1 Rhigos Rd, Cefn Rhigos, Aberdare CF44 9YU, UK",01685 811071,http://www.newinnrhigos.co.uk/
Caerphilly,Pepe's,"49 Cardiff Rd, Caerphilly CF83 1FP, UK",029 2078 9422,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/caerphilly/49-cardiff-road/4609443
Caerphilly,Charcoal Grill,"79 Cardiff Rd, Caerphilly CF83 1FQ, UK",029 2088 8001,https://charcoal-grillonline.com/QmWo
Pontypridd,Pepe's,"4 High St, Pontypridd CF37 1QJ, UK",01443 803838,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/pontypridd/4-high-street/4681726
Pontypridd,The Royal Oak,"239 Merthyr Rd, Pontypridd CF37 4DW, UK",01443 485867,https://theroyaloakbar.co.uk/
Port Talbot,Pepe's,"Talbot Rd, Port Talbot SA13 1DR, UK",01639 374747,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/port-talbot/talbot-road/4609405
Port Talbot,Golden Dragon,"22 Station Rd, Port Talbot SA13 1JB, UK",01639 882949,http://goldendragon-npt.co.uk/
Rhyl,The Royal Oak,"The Royal Oak, Wellington Rd, Rhyl LL18 1NA, UK",07855 334423,https://www.facebook.com/TheRoyalOakRhyl/
Rhyl,Pepe's,"Unit 11 Wellington Rd, Rhyl LL18 1LQ, UK",01745 770218,https://www.pepes.co.uk/store/rhyl
Rhyl,The New Inn,"Waterfall Rd, Dyserth LL18 6ET, UK",01745 570482,http://newinn.wales/
Ebbw Vale,The Castle Inn,"Nant-Y-Croft, Rassau, Ebbw Vale NP23 5DA, UK",01495 617273,http://www.thecastle-ebbwvale.foodndrink.uk/
Ebbw Vale,The Castle Inn,"49 Zion St, Ebbw Vale NP23 6BX, UK",,
Ebbw Vale,The Farmers Arms,"Old Brewery Ln, Rhymney, Tredegar NP22 5EZ, UK",01685 558785,https://thefarmersarms.restaurants-us.com/
Ebbw Vale,Charcoal Grill,"46 Marine St, Cwm, Ebbw Vale NP23 7ST, UK",,
Ebbw Vale,McDonald's,"The Walk, Ebbw Vale NP23 6AY, UK",01495 301045,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8260864:Clicks:DIRSYN:
Ebbw Vale,Morrisons Cafe,"Beaufort Rd, Ebbw Vale NP23 5WS, UK",01495 352973,https://my.morrisons.com/storefinder/95
Maesteg,Charcoal Grill,"25 Commercial St, Maesteg CF34 9DH, UK",01656 735757,http://the-charcoalgrill.co.uk/
Maesteg,Happy Wok,"62 Commercial St, Maesteg CF34 9HJ, UK",01656 730888,https://happywokchinesemaesteg.co.uk/
Maesteg,Tesco Cafe,"Castle St, Maesteg CF34 9UY, UK",0345 026 9538,https://www.tesco.com/store-locator/maesteg/tesco-stores-ltd/cafe?sc_cmp=ref*yg*stc*5306&utm_source=yext_google&utm_campaign=local_cafe_Wales&utm_medium=organic
Tonypandy,Jade Garden,"102 Dunraven St, Tonypandy CF40 1AR, UK",01443 434804,https://rhonddabiz.com/takeaways/cf40/jade-garden/
Tonypandy,McDonald's,"Gwyddon Road, Llwynypia Rd, Tonypandy CF40 2JQ, UK",01443 435857,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261024:Clicks:DIRSYN:
Bangor,Pepe's,"342 High St, Bangor LL57 1YA, UK",01248 661307,https://pepes.co.uk/pepes-piri-piri-stores/#!/l/bangor/342-high-street/4609467
Carmarthen,The Farmers Arms,"Lon Y Deri, Llanybri, Carmarthen SA33 5HQ, UK",01267 241293,https://www.farmersarmsllanybri.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4345659242986592775
Risca,Golden Dragon,"29 Commercial St, Risca, Newport NP11 6AW, UK",01633 614612,
Risca,The Castle Inn,"The Castle Lodge, Twyncarn Rd, Pontywaun, Newport NP11 7DU, UK",01495 272877,
Risca,Tesco Cafe,"Pontymister Industrial Estate, Risca, Newport NP11 6NP, UK",0345 026 9669,https://www.tesco.com/store-locator/newport/pontymister-industrial-estate/cafe?sc_cmp=ref*yg*stc*6225&utm_source=yext_google&utm_campaign=local_cafe_Wales&utm_medium=organic
Tredegar,Jade Garden,"96 Queen Victoria St, Tredegar NP22 3PX, UK",01495 725328,https://jadegardenchineseonline.co.uk/TzUF
Abergavenny,Casa Bianca,"51 Frogmore St, Abergavenny NP7 5AR, UK",01873 737744,https://casabianca.co.uk/
Buckley,The White Lion,"Mold Rd, Buckley CH7 2NH, UK",01244 421238,https://www.whitelionbuckley.com/
Buckley,The Royal Oak,"Kinnerton Ln, Higher Kinnerton, Chester CH4 9BE, UK",01244 748747,https://www.royaloakhigherkinnerton.co.uk/
Porth,Morrisons Cafe,"Pontypridd Rd, Porth CF39 9BA, UK",01443 681005,https://my.morrisons.com/storefinder/652
Flint,McDonald's,"Holywell Rd, Flint CH6 5GB, UK",01352 763108,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8260773:Clicks:DIRSYN:
Blackwood,Jade Garden,"5 The Cir, Pontllanfraith, Blackwood NP12 2NP, UK",01495 228085,
Haverfordwest,The Farmers Arms,"14-16 Goat St, St Davids, Haverfordwest SA62 6RF, UK",01437 721666,http://farmersstdavids.co.uk/
Haverfordwest,The Farmers Arms,"Mathry Hill, Mathry, Haverfordwest SA62 5HB, UK",01348 831284,https://thefarmersarmsmathry.co.uk/
Baglan,Morrisons Cafe,"Baglan Industrial Park, Christchurch Rd, Port Talbot SA12 7DA, UK",01639 822097,https://my.morrisons.com/storefinder/96
Monmouth,The Royal Oak,"134 Hereford Rd, Monmouth NP25 3GA, UK",01600 772505,http://www.royaloakmonmouth.co.uk/
Ammanford,Pizza Point,"29 Ammanford Rd, Tycroes, Ammanford SA18 3QJ, UK",01269 592333,https://www.pizzapointammanford.co.uk/
Ammanford,Tesco Cafe,"Park St, Ammanford SA18 2LR, UK",0345 671 9247,https://www.tesco.com/store-locator/rhydaman/tesco-stores-ltd/cafe?sc_cmp=ref*yg*stc*6471&utm_source=yext_google&utm_campaign=local_cafe_Wales&utm_medium=organic
Ammanford,McDonald's,"Park St, Ammanford SA18 2LR, UK",01269 506431,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261743:Clicks:DIRSYN:
Denbigh,Morrisons Cafe,"Smithfield Rd, Denbigh LL16 3RQ, UK",01745 812727,https://my.morrisons.com/storefinder/272
Bargoed,Morrisons Cafe,"Bargoed Gateway, Bargoed CF81 8NX, UK",01443 341340,https://my.morrisons.com/storefinder/573
Dinas Powys,Pizza Point,"28 Cardiff Rd, Dinas Powys CF64 4JS, UK",029 2297 3012,https://pizzapointdinaspowys.com/
Treorchy,Happy Wok,"23 Llewellyn St, Pentre CF41 7BX, UK",01443 442122,https://rhonddabiz.com/takeaways/cf41/happy-wok/
Newbridge,The New Inn,"Newbridge on Wye, Llandrindod Wells LD1 6HY, UK",01597 860211,https://www.facebook.com/thenewinnhotel/
Newbridge,McDonald's,"Unit 2 Newbridge Gateway, Newbridge, Bridge Street NP11 5GH, UK",01495 248591,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261397:Clicks:DIRSYN:
Rogerstone,Morrisons Cafe,"Azalea Rd, Rogerstone, Bassaleg, Newport NP10 9HZ, UK",01633 895724,https://my.morrisons.com/storefinder/87
Beddau,Jade Garden,"27 Talbot Rd, Talbot Green, Pontyclun CF72 8AD, UK",01443 223547,https://jadegardenchinesetakeawaytalbotgreen.co.uk/
Caerleon,The Red Lion,"Backhall St, Caerleon, Newport NP18 1AR, UK",01633 423323,
Broughton,The Red Lion,"Church Rd, Dodleston, Chester CH4 9NG, UK",01244 661636,https://www.vintageinn.co.uk/restaurants/north-west/theredliondodleston?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
Broughton,Tesco Cafe,"1, Broughton shopping park, Chester Rd, Bretton, Chester CH4 0DP, UK",0345 677 9155,https://www.tesco.com/store-locator/chester/1-broughton-shopping-park-chester-road/cafe?sc_cmp=ref*yg*stc*2272&utm_source=yext_google&utm_campaign=local_cafe_Wales&utm_medium=organic
Broughton,McDonald's,"Broughton shopping park, Chester Rd, Broughton, Bretton, Chester CH4 0DP, UK",01244 520423,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8260956:Clicks:DIRSYN:
Pontarddulais,The Farmers Arms,"152 St Teilo St, Pontarddulais, Swansea SA4 8RA, UK",01792 885050,
Pontarddulais,The Castle Inn,"3 Swansea Rd, Pontlliw, Swansea SA4 9EE, UK",01792 937001,
Pontyclun,The White Lion,"Cowbridge Rd, Ystradowen, Cowbridge CF71 7SY, UK",01446 774444,https://www.facebook.com/profile.php?id=61552622044607
Undy and Magor,The Farmers Arms,"Goldcliff Rd, Goldcliff, Newport NP18 2AU, UK",01633 495951,
Undy and Magor,The New Inn,"Chepstow Rd, Langstone, Newport NP18 2JN, UK",01633 412426,https://www.hungryhorse.co.uk/pubs/gwent/new-inn-motel?utm_source=g_places&utm_medium=locations&utm_campaign=HH_pubpage
Undy and Magor,McDonald's,"M4 J23a (east & West Bound, Magor, Caldicot NP26 3YL, UK",01633 881983,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261381:Clicks:DIRSYN:
Ruthin,The Farmers Arms,"Mwrog St, Ruthin LL15 1LB, UK",07984 000241,https://www.facebook.com/profile.php?id=100057183501516
Welshpool,McDonald's,"Enterprise Park, Unit 1 Buttington Cross, Welshpool SY21 8SL, UK",01938 554441,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261615:Clicks:DIRSYN:
Llandrindod Wells,Golden Dragon,"Middleton St, Llandrindod Wells LD1 5DG, UK",01597 822644,
Brynmawr,The Bush Inn,"1 Bailey St, Brynmawr, Ebbw Vale NP23 4DN, UK",01495 311411,
Brynmawr,McDonald's,"1, Brynmawr Retail Park, Blaina Rd, Brynmawr, Ebbw Vale NP23 4PW, UK",01495 311566,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261648:Clicks:DIRSYN:
Coedpoeth,Golden Dragon,"18 High St, Coedpoeth, Wrexham LL11 3SB, UK",01978 757303,
Blaina,The White Lion,"32 Queen St, Blaina, Abertillery NP13 3JU, UK",07445 536069,
Hope,The White Lion,"Hawarden Rd, Hope, Wrexham LL12 9NF, UK",01978 760572,https://www.facebook.com/share/18Zv7oL1UU/?mibextid=LQQJ4d
Chirk,McDonald's,"CHIRK RETAIL PARK, Wrexham LL14 5AZ, UK",01691 773399,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261023:Clicks:DIRSYN:
Glynneath,McDonald's,"Glyn, Business Park, Cwmgwrach Roundabout, Glynneath, Neath SA11 5NZ, UK",01639 722683,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261112:Clicks:DIRSYN:
Llanharry,The Bush Inn,"The Bush Inn, Cowbridge CF71 7DP, UK",01446 776888,https://www.facebook.com/BushInnStHilary/
Cowbridge,The Farmers Arms,"Cowbridge Rd, Aberthin, Cowbridge CF71 7LE, UK",01446 773429,
Penllergaer,McDonald's,"Penllergaer, Estates, Penllergaer, Pontlliw, Swansea SA4 9GT, UK",01792 005166,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8260894:Clicks:DIRSYN:
Tylorstown and Pontygwaith,Happy Wok,"12 Duffryn St, Ferndale CF43 4ES, UK",01443 733298,https://myhappywok.co.uk/
Neyland,Charcoal Grill,"69 High St, Neyland, Milford Haven SA73 1TE, UK",01646 602667,http://charcoalgrillneyland.com/
Ogmore Vale,Happy Wok,"8 Commercial St, Ogmore Vale, Bridgend CF32 7BL, UK",01656 840508,https://happy-wokonline.co.uk/
Knighton,The Red Lion,"West St, Knighton LD7 1EN, UK",01547 428080,http://www.redlionknighton.co.uk/
Kidwelly,Golden Dragon,"6 Lady St, Kidwelly SA17 4UD, UK",01554 891092,
Hendreforgan,Golden Dragon,"34 Heol-Y-Grug, Porth CF39 8UY, UK",01443 670065,
Pontycymer,Pizza Point,"33 Oxford St, Pontycymer, Bridgend CF32 8DD, UK",01656 870690,https://pizzapointpontycymer.co.uk/our_menu.php?utm_source=google&utm_medium=pin&utm_content=menu-button
Narberth,The Bush Inn,"B4314, Robeston Wathen, Narberth SA67 8EP, UK",01834 860778,https://www.thebushinn-robestonwathen.foodanddrinksites.co.uk/
Usk,Casa Bianca,"61 Bridge St, Usk NP15 1BQ, UK",01291 496057,https://casabianca.co.uk/
Resolven,Pizza Point,"1a Neath Rd, Resolven, Neath SA11 4AA, UK",01639 711026,https://pizzapointneath.com/storemenu
Crickhowell,The Red Lion,"Duffryn Rd, Llangynidr, Crickhowell NP8 1NT, UK",01874 618135,https://www.theredlionllangynidr.com/
Hay-on-Wye,Casa Bianca,"Whitney-on-Wye, toll bridge, Hereford HR3 6EW, UK",01432 381008,https://casabianca.co.uk/
