Town,Name,Address,Phone,Website
Cardiff,The Botanist Cardiff,"10, 5 Church St, Cardiff CF10 1BG, UK",029 2013 0053,http://www.thebotanist.uk.com/locations/cardiff
Cardiff,The Cardiff Townhouse,"18 The Hayes, St Davids Centre, Cardiff CF10 1AH, UK",029 2002 7685,https://www.coppaclub.co.uk/the-cardiff-townhouse?utm_source=Organic+Search&utm_medium=Local&utm_campaign=GB_Cardiff&utm_content=listing
Cardiff,Parallel by Pasture,"11 High St, Cardiff CF10 1AW, UK",07742 885440,https://parallelrestaurant.com/
Cardiff,The Ivy Asia Cardiff,"45 The Hayes, St Davids Centre, Cardiff CF10 1GA, UK",029 2280 6280,https://theivyasia.com/asian-food-near-me/asian-restaurants-wales/the-ivy-asia-cardiff/
Cardiff,The Welsh House Cardiff Restaurant & Bar,"5A High St, Cardiff CF10 1AW, UK",029 2280 6067,https://thewelsh-house.co.uk/
Cardiff,Pasture Restaurant Cardiff,"8-10 High St, Cardiff CF10 1AW, UK",07511 217422,http://www.pasturerestaurant.com/
Cardiff,Neighbourhood Kitchen & Cocktails,"80 Tudor St, Cardiff CF11 6AL, UK",07871 316018,https://neighbourhoodkitchen.co.uk/
Cardiff,Six by Nico Cardiff,"27 High St, Cardiff CF10 1PU, UK",029 2002 6666,https://www.sixbynico.co.uk/cardiff/the-chippie/
Cardiff,The Potted Pig,"27 High St, Cardiff CF10 1PU, UK",029 2022 4817,http://www.thepottedpig.com/
Cardiff,Cosy Club,"St David's Dewi Sant, 1 Hills St, St Davids Centre, Cardiff CF10 2LE, UK",029 2022 5998,https://cosyclub.co.uk/location/cardiff
Cardiff,A Pin of Salt,"12 City Rd, Cardiff CF24 3DL, UK",029 2048 6580,https://apinofsalt.co.uk/
Cardiff,The Botanist Cardiff Bay,"6 Mermaid Quay Unit 4, Cardiff CF10 5BZ, UK",029 2270 0075,https://thebotanist.uk.com/locations/cardiff-bay
Cardiff,Gaucho Cardiff,"David's Dewi Sant, 19 The Hayes, St Davids Centre, Cardiff CF10 2EL, UK",029 2059 6979,https://gauchorestaurants.com/restaurants/cardiff/
Cardiff,Banana Tree Cardiff,"16 Mill Ln, Cardiff CF10 1FL, UK",029 2010 0778,https://bananatree.co.uk/restaurants/cardiff/?utm_campaign=google_lpm_bananatree_cardiff
Cardiff,Browns Cardiff,"Mill Ln, Cardiff CF10 1EZ, UK",029 2002 3641,https://www.browns-restaurants.co.uk/restaurants/wales/cardiff#
Cardiff,Gorse,"186-188 Kings Rd, Pontcanna, Cardiff CF11 9DF, UK",029 2037 2055,https://www.gorserestaurant.co.uk/
Cardiff,Sonder Bar & Bistro,"72 Llandaff Rd, Pontcanna, Cardiff CF11 9NL, UK",07751 623002,https://www.sonderbarandbistro.com/
Cardiff,Bill's Cardiff Central Restaurant,"27-39 Wyndham Arcade, Mill Ln, Cardiff CF10 1FH, UK",020 8054 5400,https://bills-website.co.uk/restaurants/cardiff-central/?utm_source=LocalGoogle&utm_medium=Organic
Cardiff,Fat Hippo Cardiff,"17 Church St, Cardiff CF10 1BG, UK",029 2280 4365,https://www.fathippo.co.uk/
Cardiff,The Ivy Cardiff,"69/70 St David’s, St Davids Centre, Cardiff CF10 1GA, UK",029 2233 8940,https://ivycollection.com/restaurants-near-me/the-ivy-wales/the-ivy-cardiff/?utm_source=LocalGoogle&utm_medium=Organic
Cardiff,Asador 44 Spanish Grill & Wine House,"14-15 Quay St., Cardiff CF10 1EA, UK",029 2002 0039,https://grupo44.co.uk/asador44/
Cardiff,Ogof,"11 Kings Rd, Pontcanna, Cardiff CF11 9BZ, UK",,https://www.ogofcardiff.co.uk/
Cardiff,The Customs Shed,"Schooner Way, Cardiff CF10 4RT, UK",029 2047 5000,https://all.accor.com/hotel/5982/index.en.shtml
Cardiff,Daffodil,"33 Windsor Pl, Cardiff CF10 3BZ, UK",029 2151 0047,https://daffodilcardiff.co.uk/
Cardiff,Bar 44 Cardiff,"15-23 Westgate St, Cardiff CF10 1DD, UK",0333 344 4049,https://grupo44.co.uk/bar44/cardiff/
Cardiff,Hiraeth,"587 Cowbridge Rd E, Cardiff CF5 1BE, UK",,https://www.hiraethkitchen.com/
Cardiff,Shaam nights restaurant,"116 City Rd, Roath, Cardiff CF24 3DQ, UK",029 2048 2824,https://shaamnights.com/
