Email Address,SITE,PHONE,POSTCODE,SITECOUNT
%20%20enquiry@betsyclarahouse.com,Betsy Clara Nursing Home,1622687523,ME15 6UW,1
%20%20info@lovathouse.co.uk,Lovat House Residential Care,1189786750,RG40 2DB,1
%20info@fountainlovingcare.co.uk,The Willows Care Home,2086617653,SM2 5JX,1
%20info@lukkahomes.com,Ashton Lodge Care Home,2087327260,NW9 6LE,1
%20info@macccare.com,Studley Rose Care Home and 9 other services,7483046156,B80 7QU,10
%20info@meath.org.uk,The Meath Epilepsy Charity,1483415095,GU7 2QH,1
%20jacob@mendiplodge.co.uk,Mendip Lodge,1934834760,BS49 4LJ,1
%20referrals@activecaregroup.co.uk,Kingly House and 18 other services,1455613823,LE10 1AD,19
%20westgatehouse@wilfward.org.uk,Muston Road and 3 other services,1723514292,YO14 0AL,4
a.padgham@stcecilias.co.uk,St Cecilia's Care Home and 3 other services,1723503111,YO12 5BN,4
abbey.manager@woodcaregroup.com,Cedars Care Home and 4 other services,,DN4 9HU,5
abbeygate@abbeycarehomes.org.uk,Gough House and Abbeygate,1934622019,BS23 1XH,2
abbie@therectory.org.uk,St Benedicts Nursing Home Limited,1458833275,BA6 9NB,1
accounts@achg.co.uk,Shakti Lodge and Sunnyhill Residential Care Home,1322288070,DA1 3HR,2
accounts@dukerieshealthcare.co.uk,Victoria Care Home,1909476416,S80 2BJ,1
accounts@mpch.co.uk,Asher Nursing Home and Conifer Lodge,1273823310,BN3 6HQ,2
accounts@oxygenelements.co.uk,Poppy Place and 2 other services,1788573318,CV21 2EL,3
accounts@palmcourtnursinghome.co.uk,Palm Court Nursing Home,1323721911,BN21 2ND,1
addresspc@porteletcare.co.uk,Portelet Grange,,BH6 3PA,1
admin@1stcareltd.co.uk,Stubby Leas Nursing Home and Hawthorne Nursing Home,1827383496,WS13 8PT,2
admin@abbeycarecomplex.co.uk,Abbey Care Complex,2085543743,IG2 7NE,1
admin@adrcare.co.uk,Keneydon House and Hill House,1733203444,PE7 1QQ,2
admin@aegiscaresolutions.co.uk,Aegis Residential Care,1977704068,WF8 1QR,1
admin@albanycare.co.uk,Albany House - Doncaster,1302723203,DN6 7JX,1
admin@allenbrook-fordingbridge.co.uk,Allenbrook Nursing & Residential Care,1425656589,SP6 1JW,1
admin@alstonviewnursinghome.co.uk,Alston View Nursing and Residential Home,1772782010,PR3 3NT,1
admin@angelhealthcare.co.uk,Arden House Residential Care Home and 2 other services,1424211189,TN40 1JG,3
admin@annabelhouse.co.uk,Annabel House Care Centre,1934910930,BS23 2PX,1
admin@aronel.co.uk,Aronel Cottage Care Home Limited,1243842000,PO22 8BQ,1
admin@ashbridgecaregroup.co.uk,Heath Lodge,1217926586,B65 0PB,1
admin@ashbrooknursinghome.co.uk,Ashbrook Nursing Home,1708736588,RM5 3XS,1
admin@ashgatecare.co.uk,Ashgate House Care Home,1246566958,S42 7JE,1
admin@ashley-gardens.co.uk,Ashley Gardens,1323411466,BN22 8RA,1
admin@atmancare.co.uk,Woodside Care Home,7732686770,DA2 8AB,1
admin@auburnmere.uk,Auburn Mere,1923247310,WD19 5RE,1
admin@beachcombercarehome.co.uk,Beachcomber Care Home,1915819451,SR7 7AA,1
admin@bethezra.org,Beth Ezra,2086687116,CR8 3DB,1
admin@betsyclarahouse.com,Hythe View and 2 other services,1303265441,CT21 5ET,3
admin@blackrodhouse.co.uk,Blackrod House,1204690287,BL6 5JS,1
admin@blythcountryhouse.uk,Blyth Country House Care Home,1909212137,S81 8DU,1
admin@boltoncares.org.uk,Inspire,1204398122,BL2 1JG,1
admin@bondcare.co.uk,Amelia House and 29 other services,1924227516,WF6 2EH,30
admin@bowdenderra.co.uk,Bowden-Derra Park and 3 other services,1566880340,PL15 7PU,4
admin@bretoncourt.co.uk,Breton Court,1580762797,TN30 6EE,1
admin@bridgecollege.ac.uk,Pearce Lodge Care Home,1614835442,SK7 5HE,1
admin@bryonylodgenursing.co.uk,Bryony Park Nursing Home and 2 other services,1915497272,SR5 2SH,3
admin@callawaycare.co.uk,Rowland House,2081919519,HA3 9AG,1
admin@camelotnursinghome.co.uk,Camelot Nursing and Residential Care Home,1903203660,BN11 4BY,1
admin@camphilldevon.org.uk,Hapstead Village,1364642631,TQ11 0JN,1
admin@capitalcaregroup.co.uk,Chesford Grange Care Home,1782498103,ST2 0QS,1
admin@cardinalhealthcare.co.uk,Dene Place Care Home and 3 other services,1483282733,KT24 6JW,4
admin@caringalternatives.co.uk,Hillcrest Residential Home,1942891949,M29 8JE,1
admin@carlislelodge.co.uk,Carlisle Lodge,1323646149,BN20 7TD,1
admin@carltoncaregroup.co.uk,Grange Hill House Residential Home,1215501312,B62 0JJ,1
admin@chaossupport.co.uk,Stonecroft,2392472061,PO9 2ET,1
admin@cherrygardennursinghome.co.uk,Cherry Garden,1628825044,SL6 3QF,1
admin@chestnutshome.co.uk,THE CHESTNUTS RESIDENTIAL CARE HOME,1945584580,PE13 3TA,1
admin@chypons.co.uk,Chypons Residential Home,1736362492,TR18 5BU,1
admin@claremontcarehome.uk,Claremont Care Home,1843225117,CT9 2NJ,1
admin@coachhouse-nh.co.uk,The Coach House Nursing Home,1765600541,HG4 5BQ,1
admin@coshamcourtcarehome.co.uk,Cosham Court Nursing Home,2392324301,PO6 3DD,1
admin@countryviewwarkton.co.uk,Country View Nursing Home,1536484692,NN16 9XQ,1
admin@daneswood.org,Daneswood Care Home,1934843000,BS25 1RD,1
admin@deltacare-ltd.com,Victoria House,1282697535,BB9 5RH,1
admin@fairfieldhouse.co.uk,Fairfield House Residential Care Home,1297443513,DT7 3HH,1
admin@fairholmenursing.co.uk,Fairholme Nursing Home,1209714491,TR14 8DN,1
admin@fewcott.com,St Anne's Residential Care Home and Leafield Residential Care Home,1869338295,OX15 0PA,2
admin@fieldfarmhouse.net,Field Farm House Residential Home,1432273064,HR1 4JP,1
admin@forestplacenursinghome.co.uk,Forest Place Nursing Home,2085052063,IG9 5QL,1
admin@gainfordcarehomes.com,St Mary's Care Home,1913890566,DH3 3PZ,1
admin@gchc.co.uk,The Good Companions (Cumbria) Limited,1697331553,CA7 4BT,1
admin@godolphincarehome.co.uk,Godolphin House Care Home,1326572609,TR13 8QF,1
admin@gorseyclough.co.uk,Gorsey Clough Nursing Home,1204882976,BL8 3PT,1
admin@gosbertonhouse.co.uk,Gosberton House Care Home,1775840581,PE11 4EW,1
admin@graycaregroup.co.uk,Lound Hall,1777818082,DN22 8RS,1
admin@greysresidential.co.uk,Greys Residential Home,1483771523,GU22 0JQ,1
admin@halwillmanor.co.uk,Halwill Manor Nursing Home,1409221233,EX21 5UH,1
admin@harbourcaregroup.co.uk,Harbour Care Home,1227741940,CT6 8HY,1
admin@harmonyhouse.uk.com,Harmony House Nursing Home,1273415630,BN42 4LP,1
admin@harristonhomes.com,Nichols House and Mansgrove Farm House,2083554666,MK45 3HH,2
